Genus	Local	pFDA
Pseudomonas	1462	786
Azotobacter	1	6
Permianibacter	1	0
Acinetobacter	279	342
Moraxella	117	132
Psychrobacter	12	23
Xanthomonas	1209	14278
Stenotrophomonas	38	73
Lysobacter	11	18
Xylella	3	4
Pseudoxanthomonas	3	8
Luteimonas	1	7
Pseudolysobacter	1	0
Dyella	8	13
Rhodanobacter	4	2
Luteibacter	1	4
Marinobacter	24	27
Alteromonas	21	25
Glaciecola	6	7
Salinimonas	6	8
Catenovulum	5	3
Paraglaciecola	5	3
Hydrocarboniclastica	5	0
Agarivorans	1	0
Pseudoalteromonas	67	86
Shewanella	63	62
Parashewanella	3	0
Colwellia	19	10
Thalassotalea	5	2
Litorilituus	1	0
Moritella	9	6
Idiomarina	4	4
Psychromonas	3	6
Vibrio	90	147
Aliivibrio	11	11
Photobacterium	10	15
Salinivibrio	3	0
Grimontia	2	0
Paraphotobacterium	2	3
Enterovibrio	1	1
Pasteurella	41	38
Haemophilus	24	20
Actinobacillus	10	8
Mannheimia	5	6
Basfia	3	1
Rodentibacter	3	0
Glaesserella	3	6
Histophilus	2	5
Avibacterium	2	0
Aggregatibacter	2	6
Aeromonas	58	3537
Tolumonas	1	4
Oceanimonas	1	2
Oceanisphaera	1	1
Succinivibrio	2	0
Halomonas	22	41
Cobetia	4	0
Zymobacter	1	3
CandidatusCarsonella	1	0
CandidatusEvansia	1	0
Kushneria	2	1
Pistricoccus	1	0
Marinomonas	10	7
Oleispira	2	5
Marinobacterium	1	1
Neptunomonas	1	0
Nitrincola	1	0
Kangiella	5	5
Gynuella	3	7
Alcanivorax	1	13
Ketobacter	1	5
Hahella	1	4
Endozoicomonas	1	3
Nitrosococcus	9	5
Thiocystis	4	3
Rheinheimera	4	0
Thiodictyon	3	6
Allochromatium	2	4
Marichromatium	2	1
Thioflavicoccus	2	3
Thioalkalivibrio	4	8
Ectothiorhodospira	2	3
Halorhodospira	1	1
Granulosicoccus	3	9
Sulfuriflexus	2	0
Halothiobacillus	4	10
Woeseia	2	0
Wenzhouxiangella	1	1
Legionella	38	40
Fluoribacter	4	6
Tatlockia	2	3
Coxiella	1	3
Rickettsiella	1	0
Aquicella	1	0
Francisella	22	34
Allofrancisella	3	0
Piscirickettsia	7	6
Hydrogenovibrio	1	2
Cycloclasticus	1	6
Methylophaga	1	2
Agarilytica	9	9
Cellvibrio	6	4
Saccharophagus	1	4
Kineobactrum	4	0
Congregibacter	1	1
Microbulbifer	5	9
Zhongshania	2	4
Methylomonas	5	11
Methylocaldum	5	1
Methylomicrobium	3	2
Methylococcus	1	4
CandidatusMethylospira	1	0
CandidatusRuthia	3	0
CandidatusThioglobus	2	5
Gallaecimonas	2	4
Gilliamella	4	3
Frischella	1	3
Sulfurifustis	2	4
Sulfuricaulis	2	3
Acidiferrobacter	1	3
Cardiobacterium	3	0
Solimonas	2	8
Steroidobacter	1	3
Salinisphaera	1	3
Campylobacter	64	80
Arcobacter	60	10
Aliiarcobacter	1	12
Sulfurospirillum	17	10
Helicobacter	37	100
Sulfurimonas	26	13
Nitratifractor	2	2
Caminibacter	2	0
Nitratiruptor	1	0
Sorangium	12	15
Chondromyces	9	6
Minicystis	3	0
Sandaracinus	3	2
Labilithrix	3	0
Myxococcus	8	34
Corallococcus	2	7
Stigmatella	4	10
Cystobacter	2	9
Archangium	2	7
Melittangium	1	7
Anaeromyxobacter	4	14
Vulgatibacter	2	0
Desulfovibrio	20	29
Pseudodesulfovibrio	4	7
Desulfocurvibacter	2	0
Desulfomicrobium	7	11
Desulfohalobium	2	0
Geobacter	16	36
Geoalkalibacter	1	3
Desulfuromonas	2	7
Desulfobacter	5	2
Desulfobacula	4	5
Desulfosarcina	3	0
Desulfobacterium	2	2
Desulfobulbus	3	5
Desulfocapsa	1	2
Syntrophobacter	2	1
Desulfoglaeba	1	0
Desulfobacca	1	1
Bradymonas	1	0
Desulfurella	2	0
Halobacteriovorax	9	4
Bacteriovorax	1	6
Bdellovibrio	6	14
Silvanigrella	1	0
Hydrogenophilus	2	2
Mariprofundus	1	2
Acidithiobacillus	1	8
Staphylococcus	143098	2006887
Macrococcus	3	8
Auricoccus	3	1
Bacillus	322	377
Geobacillus	50	76
Virgibacillus	40	13
Lysinibacillus	27	26
Anoxybacillus	11	9
Psychrobacillus	9	0
Oceanobacillus	9	14
Halobacillus	8	10
Parageobacillus	7	3
Pradoshia	4	0
Salicibibacter	3	0
Paraliobacillus	3	1
Salimicrobium	2	1
Terribacillus	2	3
Aeribacillus	2	1
Pontibacillus	1	0
Fictibacillus	1	6
Gracilibacillus	1	0
Paenibacillus	132	201
Cohnella	37	0
Brevibacillus	15	23
Saccharibacillus	4	0
Aneurinibacillus	2	3
Listeria	67	78
Planococcus	7	168
Solibacillus	6	9
Paenisporosarcina	4	0
Sporosarcina	3	6
Kurthia	2	4
Rummeliibacillus	1	1
Gemella	8	12
Exiguobacterium	2	15
Novibacillus	4	4
Laceyella	2	3
Staphylospora	2	0
Kyrpidia	2	5
Alicyclobacillus	1	5
Streptococcus	200	2375
Lactococcus	15	23
Lactobacillus	152	151
Pediococcus	7	6
Enterococcus	36	63
Tetragenococcus	10	2
Melissococcus	8	6
Vagococcus	5	3
Weissella	13	9
Leuconostoc	8	14
Oenococcus	5	4
Carnobacterium	14	16
Jeotgalibaca	5	1
Marinilactibacillus	2	0
Dolosigranulum	1	0
Aerococcus	5	12
Clostridium	332	295
CandidatusArthromitus	8	7
Alkaliphilus	6	8
Caloranaerobacter	5	0
Geosporobacter	4	4
Hathewaya	4	0
Crassaminicella	4	0
Caloramator	2	0
Hungatella	1	0
Butyrivibrio	18	34
Blautia	14	19
Lachnoclostridium	13	21
Cellulosilyticum	11	3
Roseburia	6	4
Anaerocolumna	6	0
Lachnoanaerobaculum	4	12
Lachnospira	3	0
Anaerostipes	3	1
Pseudobutyrivibrio	2	0
Anaerobutyricum	1	0
Filifactor	61	99
Clostridioides	17	23
Acetoanaerobium	9	36
Paeniclostridium	7	7
Paraclostridium	4	0
Peptoclostridium	1	4
Aminipila	50	0
Mogibacterium	5	23
Thermaerobacter	4	3
Carboxydocella	1	3
Desulfosporosinus	11	14
Desulfitobacterium	7	15
Dehalobacter	6	2
Desulfallas	5	8
Desulfotomaculum	4	5
Thermincola	1	2
Desulfofarcimen	1	6
Faecalibacterium	8	15
Ruminococcus	6	5
Caproiciproducens	4	0
Ethanoligenens	1	1
Flavonifractor	1	1
Ruthenibacterium	1	0
Hungateiclostridium	9	10
Ruminiclostridium	5	10
Pseudoclostridium	4	8
Thermoclostridium	3	3
Mageeibacillus	1	3
Acetobacterium	5	7
Eubacterium	2	18
Petrocella	5	0
Heliorestis	4	0
CandidatusSyntrophocurvum	2	0
Syntrophothermus	1	4
Oscillibacter	1	2
Dysosmobacter	1	0
Christensenella	3	3
Thermoanaerobacterium	19	19
Caldicellulosiruptor	11	17
Ammonifex	3	2
Moorella	3	3
Thermoanaerobacter	5	13
Thermanaeromonas	2	2
Tepidanaerobacter	1	0
Mahella	3	2
Halothermothrix	4	4
Halanaerobium	2	5
Halocella	1	0
Anoxybacter	4	0
Halobacteroides	1	0
Natranaerobius	1	4
Pelosinus	13	6
Methylomusa	3	0
Selenomonas	5	11
Megamonas	2	0
Veillonella	6	7
Dialister	2	8
Megasphaera	1	4
Phascolarctobacterium	3	0
Acidaminococcus	1	10
Finegoldia	8	8
Anaerococcus	8	5
Parvimonas	6	8
Peptoniphilus	2	1
Murdochiella	1	1
Sporanaerobacter	2	0
Gudongella	1	0
Ezakiella	2	5
Erysipelothrix	4	1
Turicibacter	3	1
Longibaculum	3	0
Intestinibaculum	2	0
Limnochorda	3	3
Mycolicibacterium	3107	159
Mycobacterium	431	469
Mycobacteroides	29	61
Mycolicibacter	2	11
Mycolicibacillus	2	0
Corynebacterium	74	136
Rhodococcus	27	24193
Nocardia	23	66
Gordonia	29	38
Dietzia	8	15
Tsukamurella	4	14
Tomitella	1	0
Cutibacterium	1145	1444
Tessaracoccus	5	12
Auraticoccus	4	5
Propionibacterium	2	164
Microlunatus	2	8
Nocardioides	18	9
Aeromicrobium	9	12
Micropruina	4	2
Marmoricola	1	4
Kribbella	1	8
Streptomyces	286	16863
Kitasatospora	8	20
Streptacidiphilus	4	1
Micrococcus	110	136
Kocuria	13	9
Arthrobacter	9	28
Rothia	8	14
Pseudarthrobacter	6	14
Glutamicibacter	4	9
Neomicrococcus	2	0
Auritidibacter	1	1
Microbacterium	26	30
Rathayibacter	11	6
Curtobacterium	7	6
Agromyces	4	9
Clavibacter	4	6
Leucobacter	3	0
Agrococcus	2	6
Frondihabitans	2	2
Plantibacter	2	4
Protaetiibacter	1	0
Aurantimicrobium	1	4
Mycetocola	1	3
Cryobacterium	1	4
Serinicoccus	7	2
Janibacter	4	6
Ornithinimicrobium	4	4
Tetrasphaera	3	0
Phycicoccus	2	1
Arsenicicoccus	1	1
Cellulomonas	15	12
Oerskovia	5	0
Brachybacterium	12	11
Dermabacter	3	4
Devriesea	2	1
Cellulosimicrobium	3	5
Isoptericola	2	5
Brevibacterium	1	9
Jonesia	1	0
Dermacoccus	1	4
Georgenia	1	0
Luteimicrobium	1	0
Amycolatopsis	17	48
Pseudonocardia	12	19
Lentzea	7	8
Saccharothrix	5	5
Actinosynnema	5	7
Actinoalloteichus	5	11
Saccharomonospora	4	14
Kutzneria	4	2
Kibdelosporangium	1	9
Prauserella	1	2
Allokutzneria	1	5
Micromonospora	29	60
Actinoplanes	23	40
Plantactinospora	5	11
Verrucosispora	1	1
Actinomyces	39	44
Schaalia	7	0
Arcanobacterium	1	1
Bifidobacterium	35	50
Gardnerella	13	22
Actinomadura	13	1
Nonomuraea	7	6
Streptosporangium	1	9
Nocardiopsis	4	11
Streptomonospora	2	0
Frankia	13	32
Catenulispora	4	9
Blastococcus	2	0
Geodermatophilus	1	5
Acidothermus	2	4
Epidermidibacterium	1	0
CandidatusNanopelagicus	1	1
Nakamurella	1	8
Jiangella	1	14
Kineococcus	1	4
Collinsella	4	5
Olsenella	2	2
Eggerthella	6	9
Adlercreutzia	2	5
Slackia	1	2
Phoenicibacter	1	1
Rubrobacter	5	8
Baekduia	3	0
Egibacter	5	0
Euzebya	1	0
Conexibacter	1	1
Nostoc	52	164
Anabaena	8	8
Cylindrospermum	5	2
Trichormus	1	10
Calothrix	28	82
Nodularia	8	1
Sphaerospermopsis	6	3
Dolichospermum	3	2
Scytonema	6	9
Microchaete	4	1
Rivularia	2	6
Fischerella	2	18
Microcystis	21	5
Gloeothece	6	0
Crocosphaera	5	0
CandidatusAtelocyanobacterium	3	3
Rippkaea	2	0
Geminocystis	11	19
Chondrocystis	3	8
Cyanobacterium	3	7
Trichodesmium	4	13
Planktothrix	4	3
Microcoleus	3	4
Arthrospira	1	4
Moorea	7	10
Oscillatoria	4	8
Crinalium	4	5
Synechococcus	16	41
Thermosynechococcus	5	0
Dactylococcopsis	2	0
Cyanobium	2	0
Prochlorococcus	13	0
Leptolyngbya	12	0
Chamaesiphon	8	0
Pseudanabaena	2	0
Synechocystis	1	0
Acaryochloris	1	0
Halomicronema	1	0
Stanieria	7	0
Gloeobacter	4	0
Chroococcidiopsis	1	0
Gloeomargarita	1	0
Mycoplasma	95	0
Ureaplasma	4	0
Spiroplasma	36	0
Mesoplasma	9	0
Entomoplasma	3	0
Acholeplasma	9	0
CandidatusPhytoplasma	3	0
CandidatusIzimaplasma	1	0
Thermus	93	0
Meiothermus	2	0
Deinococcus	18	0
Anaerolinea	2	0
Brevefilum	1	0
Dehalococcoides	20	0
Ktedonosporobacter	4	0
Caldilinea	4	0
CandidatusPromineofilum	3	0
Roseiflexus	2	0
Sphaerobacter	1	0
Chryseobacterium	101	0
Capnocytophaga	99	0
Flavobacterium	83	0
Polaribacter	41	0
Formosa	25	0
Elizabethkingia	25	0
Aquimarina	20	0
Tenacibaculum	18	0
Algibacter	17	0
Nonlabens	16	0
Cellulophaga	16	0
Lacinutrix	15	0
Gramella	13	0
Maribacter	13	0
Myroides	12	0
Urechidicola	8	0
Dokdonia	8	0
Olleya	8	0
Kordia	8	0
Flavivirga	6	0
Cloacibacterium	6	0
Psychroserpens	6	0
Empedobacter	6	0
Arenibacter	5	0
Croceibacter	5	0
Winogradskyella	5	0
Tamlana	4	0
Siansivirga	4	0
Mariniflexile	4	0
Muricauda	4	0
Riemerella	3	0
Zunongwangia	3	0
Seonamhaeicola	3	0
Robiginitalea	3	0
Psychroflexus	2	0
Lutibacter	2	0
Oceanihabitans	2	0
Weeksella	1	0
Bergeyella	1	0
Antarcticibacterium	1	0
Apibacter	1	0
Euzebyella	1	0
Aequorivita	1	0
Gillisia	1	0
Salegentibacter	1	0
Zobellia	1	0
Sediminicola	1	0
Gilvibacter	1	0
Ornithobacterium	1	0
Blattabacterium	11	0
CandidatusSulcia	6	0
Ichthyobacterium	2	0
Fluviicola	1	0
Porphyromonas	72	0
Fermentimonas	4	0
Bacteroides	66	0
Prevotella	27	0
Paraprevotella	2	0
Tannerella	12	0
Parabacteroides	3	0
Butyricimonas	2	0
Odoribacter	1	0
Mucinivorans	3	0
Alistipes	2	0
Muribaculum	3	0
Duncaniella	2	0
CandidatusAzobacteroides	3	0
Paludibacter	3	0
Proteiniphilum	1	0
Draconibacterium	2	0
Alkalitalea	3	0
Salinivirga	2	0
Labilibaculum	1	0
Spirosoma	36	0
Rhodocytophaga	9	0
Runella	7	0
Arcticibacterium	4	0
Dyadobacter	3	0
Cytophaga	2	0
Fibrella	2	0
Allopseudarcicella	2	0
Leadbetterella	1	0
Hymenobacter	19	0
Pontibacter	17	0
Rufibacter	6	0
Echinicola	8	0
Cyclobacterium	6	0
Aquiflexum	3	0
Belliella	2	0
Algoriphagus	1	0
Flammeovirga	7	0
Fabibacter	5	0
Marivirga	4	0
Bernardetia	7	0
Chryseolinea	1	0
CandidatusCardinium	1	0
Pedobacter	34	0
Mucilaginibacter	22	0
Sphingobacterium	18	0
Pseudopedobacter	1	0
Chitinophaga	19	0
Arachidicoccus	8	0
Flavisolibacter	6	0
Niastella	5	0
Niabella	5	0
Paraflavitalea	4	0
Pseudobacter	3	0
Filimonas	2	0
Panacibacter	1	0
Rhodothermus	2	0
Salinibacter	2	0
Saprospira	2	0
Chlorobium	4	0
Pelodictyon	3	0
Chlorobaculum	3	0
Prosthecochloris	1	0
Chloroherpeton	1	0
Melioribacter	4	0
Ignavibacterium	3	0
CandidatusCyclonatronum	2	0
Gemmatirosa	10	0
Gemmatimonas	1	0
Fibrobacter	2	0
Leptospira	1108	0
Treponema	24	0
Spirochaeta	8	0
Sphaerochaeta	4	0
Oceanispirochaeta	4	0
Sediminispirochaeta	2	0
Borrelia	24	0
Borreliella	15	0
Brachyspira	25	0
Bremerella	8	0
Planctomyces	4	0
Planctopirus	2	0
Rubinisphaera	1	0
Fuerstia	1	0
Gemmata	9	0
Roseimaritima	3	0
Pirellula	1	0
Bythopirellula	1	0
Thermogutta	1	0
Aquisphaera	4	0
Paludisphaera	3	0
Singulisphaera	1	0
Limihaloglobus	6	0
Sedimentisphaera	1	0
Anaerohalosphaera	3	0
Phycisphaera	3	0
CandidatusKuenenia	6	0
CandidatusProtochlamydia	8	0
Neochlamydia	2	0
Parachlamydia	1	0
Simkania	1	0
Chlamydia	10	0
Roseimicrobium	3	0
Akkermansia	2	0
Opitutus	2	0
Lacunisphaera	1	0
Nibricoccus	1	0
Methylacidiphilum	2	0
Kiritimatiella	1	0
Fusobacterium	108	0
Ilyobacter	1	0
Leptotrichia	30	0
Sneathia	5	0
Streptobacillus	3	0
Sebaldella	1	0
Thermotoga	52	0
Pseudothermotoga	6	0
Thermosipho	9	0
Fervidobacterium	1	0
Defluviitoga	5	0
Marinitoga	2	0
Petrotoga	1	0
Calditerrivibrio	6	0
Deferribacter	5	0
Geovibrio	4	0
Flexistipes	2	0
Sulfurihydrogenibium	4	0
Thermocrinis	2	0
Hydrogenobacter	1	0
Thermosulfidibacter	1	0
Desulfurobacterium	2	0
Thermovibrio	2	0
Aminobacterium	3	0
Acetomicrobium	1	0
Thermanaerovibrio	1	0
Thermovirga	1	0
Jonquetella	1	0
Cloacibacillus	1	0
Terriglobus	5	0
Granulicella	2	0
Acidisarcina	1	0
CandidatusSolibacter	1	0
Chloracidobacterium	1	0
Luteitalea	1	0
Thermodesulfatator	3	0
Thermodesulfobacterium	2	0
Caldimicrobium	2	0
Nitrospira	2	0
Thermodesulfovibrio	2	0
Dictyoglomus	4	0
CandidatusBabela	2	4
Caldithrix	3	0
Endomicrobium	1	0
Elusimicrobium	1	0
Caldisericum	1	0
Gammaretrovirus	5398	0
Schizotequatrovirus	2	0
Jiaodavirus	1	0
Krischvirus	1	0
Jilinvirus	1	0
Ionavirus	1	0
Alcyoneusvirus	1	0
Agatevirus	1	0
Bequatrovirus	1	0
Bastillevirus	1	0
Silviavirus	1	0
Sepunavirus	1	0
Okubovirus	1	0
Pecentumvirus	1	0
Pahexavirus	2	0
Tunavirus	1	0
Brujitavirus	1	0
Orthobunyavirus	5	0
Emaravirus	1	0
Deltaflexivirus	2	0
Bymovirus	1	0
Rhadinovirus	4	0
Percavirus	1	0
Simplexvirus	2	0
Scutavirus	1	0
Roseolovirus	2	0
Betabaculovirus	5	0
Alphabaculovirus	1	0
Avipoxvirus	2	0
Capripoxvirus	1	0
Yatapoxvirus	1	0
Pandoravirus	1	0
Mimivirus	4	0
Ichnovirus	4	0
Coccolithovirus	2	0
Chlorovirus	1	0
Prymnesiovirus	1	0
Marseillevirus	1	0
Betanudivirus	2	0
Betatorquevirus	1	0
Ascovirus	1	0
Chloriridovirus	1	0
Kozakia	0	3
Acidisphaera	0	2
Asaia	0	2
Neoasaia	0	2
Magnetospira	0	2
Tistrella	0	1
Haematospirillum	0	1
Variibacter	0	2
Ensifer	0	11
Devosia	0	76
Chelativorans	0	1
CandidatusPhaeomarinobacter	0	7
Parvibaculum	0	5
Anderseniella	0	3
Beijerinckia	0	1
Confluentimicrobium	0	8
Rhodovulum	0	8
Marinovum	0	6
Thioclava	0	6
Halocynthiibacter	0	3
Thalassococcus	0	3
Roseobacter	0	3
Pseudovibrio	0	2
Antarctobacter	0	2
Tateyamaria	0	1
Roseibacterium	0	1
Rhodobaca	0	1
Sagittula	0	1
Brevirhabdus	0	1
Yoonia	0	1
Hirschia	0	4
Anaplasma	0	3
Neorickettsia	0	2
Micavibrio	0	1
CandidatusFonsibacter	0	1
CandidatusParacaedibacter	0	2
Magnetococcus	0	1
Dokdonella	0	7
Ahniella	0	2
Frateuria	0	1
Zobellella	0	6
CandidatusGullanella	0	2
CandidatusDoolittlea	0	1
CandidatusRiesia	0	2
Shimwellia	0	1
Limnobaculum	0	1
Pragia	0	1
Oblitimonas	0	2
Acidihalobacter	0	365
Spiribacter	0	4
Lacimicrobium	0	2
Ferrimonas	0	2
Halotalea	0	3
Chromohalobacter	0	2
Salinicola	0	1
Bacterioplanes	0	2
Thalassolituus	0	1
Reinekea	0	5
Saccharospirillum	0	3
Oleiphilus	0	5
Bibersteinia	0	2
Gallibacterium	0	1
Thiomicrospira	0	2
Thioploca	0	2
Beggiatoa	0	1
Simiduia	0	6
Oceanicoccus	0	5
Spongiibacter	0	2
Halioglobus	0	1
Thiohalobacter	0	2
Thiolapillus	0	2
Pseudohongiella	0	1
Methylovulum	0	3
Immundisolibacter	0	6
Dichelobacter	0	2
Paucimonas	0	4
Hydromonas	0	4
Diaphorobacter	0	1
Oligella	0	7
Taylorella	0	5
Orrella	0	4
Advenella	0	3
Pusillimonas	0	3
Rhizobacter	0	9
Sutterella	0	1
Simonsiella	0	3
Crenobacter	0	2
Eikenella	0	1
Laribacter	0	2
Vogesella	0	1
Pseudogulbenkiania	0	1
Jeongeupia	0	1
Methylotenera	0	32
Methylovorus	0	3
Sideroxydans	0	4
Ferriphaselus	0	3
Gallionella	0	1
Dechloromonas	0	4
Malacobacter	0	15
Pseudoarcobacter	0	8
Sulfuricurvum	0	4
Wolinella	0	3
Nautilia	0	5
Sulfurovum	0	1
Haliangium	0	6
Pelobacter	0	8
Lawsonia	0	4
Desulfococcus	0	2
Desulfatibacillum	0	2
Desulfurivibrio	0	5
Desulfomonile	0	5
Syntrophus	0	2
Hippea	0	3
CandidatusDesulfofervidus	0	3
Desulfarculus	0	2
Salinicoccus	0	3
Jeotgalicoccus	0	1
Lentibacillus	0	2
Amphibacillus	0	1
Jeotgalibacillus	0	3
Tumebacillus	0	8
Mordavella	0	1
Herbinix	0	2
Anaerotignum	0	1
Syntrophobotulus	0	8
Dehalobacterium	0	4
CandidatusDesulforudis	0	2
Fastidiosipila	0	4
Monoglobus	0	3
Intestinimonas	0	1
Symbiobacterium	0	8
Heliobacterium	0	1
Caldanaerobacter	0	4
Carboxydothermus	0	2
Thermacetogenium	0	1
Thermodesulfobium	0	2
Acetohalobium	0	1
Gottschalkia	0	6
Faecalibaculum	0	1
Ndongobacter	0	1
Segniliparus	0	2
Lawsonella	0	1
Pseudopropionibacterium	0	9
Acidipropionibacterium	0	3
Friedmanniella	0	7
Actinopolymorpha	0	2
Pimelobacter	0	1
Psychromicrobium	0	4
Renibacterium	0	1
Sinomonas	0	1
Leifsonia	0	11
Microterricola	0	2
Humibacter	0	1
Rhodoluna	0	1
Cnuibacter	0	1
Paraoerskovia	0	6
Xylanimonas	0	8
Intrasporangium	0	4
Kytococcus	0	2
Luteipulveratus	0	2
Miniimonas	0	6
Beutenbergia	0	1
Sanguibacter	0	3
Austwickia	0	1
Saccharopolyspora	0	5
Alloactinosynnema	0	4
Salinispora	0	13
Parascardovia	0	4
Actinotignum	0	5
Mobiluncus	0	3
