## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[BWA-MEM_Human-hg19_Cat-felCat9-Bacteria11_Alignment/rg.bam] OUTPUT=BWA-MEM_Human-hg19_Cat-felCat9-Bacteria11_Alignment/nodup.bam METRICS_FILE=BWA-MEM_Human-hg19_Cat-felCat9-Bacteria11_Alignment/Basepaws_WGS1_MarkDuplicates_BWA_MEM_metrics.txt REMOVE_DUPLICATES=true CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 13 01:56:20 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
WGA	0	163573837	2664789	1960976	0	34053166	1343754	0.208182	346189076

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
68.0	2.672848	134	0	120
69.0	2.672848	114	0	118
70.0	2.672848	112	0	106
71.0	2.672848	104	0	113
72.0	2.672848	100	0	99
73.0	2.672848	103	0	110
74.0	2.672848	116	0	110
75.0	2.672848	92	0	94
76.0	2.672848	101	0	111
77.0	2.672848	120	0	105
78.0	2.672848	108	0	110
79.0	2.672848	95	0	94
80.0	2.672848	103	0	95
81.0	2.672848	89	0	97
82.0	2.672848	82	0	83
83.0	2.672848	77	0	82
84.0	2.672848	105	0	96
85.0	2.672848	84	0	87
86.0	2.672848	84	0	86
87.0	2.672848	85	0	79
88.0	2.672848	72	0	71
89.0	2.672848	77	0	77
90.0	2.672848	79	0	79
91.0	2.672848	81	0	85
92.0	2.672848	68	0	72
93.0	2.672848	72	0	67
94.0	2.672848	61	0	55
95.0	2.672848	54	0	51
96.0	2.672848	66	0	69
97.0	2.672848	67	0	66
98.0	2.672848	48	0	55
99.0	2.672848	64	0	61
100.0	2.672848	64	0	55
101.0	0	52	0	51
102.0	0	45	0	52
103.0	0	47	0	45
104.0	0	45	0	52
105.0	0	48	0	46
106.0	0	46	0	48
107.0	0	42	0	37
108.0	0	49	0	50
109.0	0	47	0	43
110.0	0	52	0	52
111.0	0	31	0	36
112.0	0	44	0	46
113.0	0	46	0	42
114.0	0	57	0	59
115.0	0	48	0	40
116.0	0	36	0	39
117.0	0	42	0	43
118.0	0	39	0	42
119.0	0	36	0	36
120.0	0	33	0	28
121.0	0	39	0	35
122.0	0	31	0	31
123.0	0	30	0	36
124.0	0	28	0	34
125.0	0	36	0	28
126.0	0	42	0	35
127.0	0	34	0	41
128.0	0	27	0	27
129.0	0	29	0	30
130.0	0	36	0	33
131.0	0	29	0	32
132.0	0	26	0	28
133.0	0	34	0	28
134.0	0	34	0	36
135.0	0	27	0	32
136.0	0	29	0	26
137.0	0	24	0	26
138.0	0	19	0	17
139.0	0	22	0	17
140.0	0	27	0	29
141.0	0	29	0	21
142.0	0	13	0	19
143.0	0	19	0	19
144.0	0	15	0	17
145.0	0	33	0	35
146.0	0	25	0	24
147.0	0	26	0	24
148.0	0	26	0	31
149.0	0	24	0	19
150.0	0	23	0	25
151.0	0	26	0	21
152.0	0	18	0	16
153.0	0	13	0	14
154.0	0	12	0	17
155.0	0	16	0	14
156.0	0	12	0	16
157.0	0	21	0	18
158.0	0	16	0	18
159.0	0	19	0	15
160.0	0	21	0	22
161.0	0	22	0	21
162.0	0	12	0	16
163.0	0	21	0	18
164.0	0	19	0	24
165.0	0	15	0	20
166.0	0	20	0	16
167.0	0	20	0	15
168.0	0	16	0	17
169.0	0	14	0	11
170.0	0	13	0	17
171.0	0	14	0	16
172.0	0	20	0	9
173.0	0	11	0	17
174.0	0	13	0	11
175.0	0	17	0	19
176.0	0	16	0	20
177.0	0	13	0	16
178.0	0	15	0	7
179.0	0	12	0	16
180.0	0	13	0	11
181.0	0	11	0	6
182.0	0	10	0	10
183.0	0	10	0	17
184.0	0	16	0	14
185.0	0	12	0	10
186.0	0	15	0	15
187.0	0	15	0	18
188.0	0	12	0	11
189.0	0	14	0	6
190.0	0	5	0	10
191.0	0	11	0	12
192.0	0	16	0	10
193.0	0	12	0	19
194.0	0	13	0	12
195.0	0	9	0	10
196.0	0	10	0	10
197.0	0	16	0	9
198.0	0	6	0	8
199.0	0	8	0	9
200.0	0	9	0	11
201.0	0	11	0	6
202.0	0	11	0	12
203.0	0	9	0	12
204.0	0	9	0	7
205.0	0	11	0	9
206.0	0	7	0	13
207.0	0	7	0	9
208.0	0	9	0	9
209.0	0	12	0	7
210.0	0	9	0	10
211.0	0	10	0	6
212.0	0	7	0	10
213.0	0	12	0	11
214.0	0	10	0	11
215.0	0	7	0	6
216.0	0	7	0	8
217.0	0	10	0	12
218.0	0	11	0	8
219.0	0	5	0	5
220.0	0	7	0	8
221.0	0	9	0	10
222.0	0	9	0	7
223.0	0	8	0	6
224.0	0	7	0	7
225.0	0	2	0	5
226.0	0	7	0	10
227.0	0	8	0	2
228.0	0	6	0	5
229.0	0	3	0	5
230.0	0	4	0	5
231.0	0	11	0	13
232.0	0	10	0	6
233.0	0	5	0	7
234.0	0	9	0	8
235.0	0	7	0	4
236.0	0	9	0	9
237.0	0	5	0	3
238.0	0	7	0	10
239.0	0	7	0	8
240.0	0	7	0	7
241.0	0	5	0	5
242.0	0	8	0	9
243.0	0	5	0	5
244.0	0	8	0	7
245.0	0	4	0	8
246.0	0	5	0	4
247.0	0	8	0	7
248.0	0	6	0	4
249.0	0	6	0	7
250.0	0	8	0	8
251.0	0	7	0	6
252.0	0	7	0	6
253.0	0	10	0	13
254.0	0	4	0	4
255.0	0	4	0	6
256.0	0	5	0	6
257.0	0	7	0	8
258.0	0	4	0	4
259.0	0	15	0	9
260.0	0	5	0	4
261.0	0	5	0	4
262.0	0	8	0	7
263.0	0	3	0	6
264.0	0	7	0	5
265.0	0	6	0	5
266.0	0	2	0	4
267.0	0	5	0	5
268.0	0	5	0	9
269.0	0	6	0	3
270.0	0	2	0	1
271.0	0	4	0	1
272.0	0	5	0	6
273.0	0	5	0	3
274.0	0	5	0	7
275.0	0	2	0	3
276.0	0	7	0	7
277.0	0	8	0	9
278.0	0	4	0	3
279.0	0	3	0	5
280.0	0	6	0	4
281.0	0	4	0	3
282.0	0	1	0	2
283.0	0	3	0	5
284.0	0	6	0	2
285.0	0	1	0	3
286.0	0	3	0	1
287.0	0	4	0	5
288.0	0	5	0	10
289.0	0	9	0	5
290.0	0	2	0	4
291.0	0	3	0	4
292.0	0	5	0	2
293.0	0	1	0	3
294.0	0	6	0	4
295.0	0	5	0	4
296.0	0	3	0	2
297.0	0	1	0	3
298.0	0	2	0	2
299.0	0	3	0	4
300.0	0	2	0	0
301.0	0	3	0	2
302.0	0	2	0	0
303.0	0	1	0	1
304.0	0	0	0	2
305.0	0	3	0	2
306.0	0	0	0	1
307.0	0	2	0	0
308.0	0	0	0	3
309.0	0	0	0	3
310.0	0	3	0	2
311.0	0	5	0	0
314.0	0	2	0	3
315.0	0	4	0	3
316.0	0	2	0	6
317.0	0	2	0	6
318.0	0	2	0	1
319.0	0	3	0	1
320.0	0	3	0	1
321.0	0	2	0	2
322.0	0	2	0	1
323.0	0	3	0	5
324.0	0	3	0	8
325.0	0	5	0	3
326.0	0	3	0	1
327.0	0	4	0	2
328.0	0	2	0	4
329.0	0	0	0	2
330.0	0	4	0	6
331.0	0	3	0	3
332.0	0	4	0	2
333.0	0	5	0	3
334.0	0	4	0	4
335.0	0	1	0	0
336.0	0	3	0	3
337.0	0	3	0	1
338.0	0	2	0	2
339.0	0	1	0	0
340.0	0	3	0	3
341.0	0	3	0	2
342.0	0	0	0	3
343.0	0	4	0	1
344.0	0	1	0	2
345.0	0	1	0	2
346.0	0	2	0	2
347.0	0	0	0	3
348.0	0	3	0	1
349.0	0	2	0	2
350.0	0	1	0	0
351.0	0	1	0	0
352.0	0	1	0	0
353.0	0	1	0	4
355.0	0	2	0	4
356.0	0	3	0	5
357.0	0	5	0	2
358.0	0	0	0	1
359.0	0	3	0	2
360.0	0	2	0	2
361.0	0	3	0	2
362.0	0	3	0	8
363.0	0	5	0	5
364.0	0	2	0	6
365.0	0	6	0	2
366.0	0	3	0	1
367.0	0	4	0	0
368.0	0	1	0	1
369.0	0	1	0	2
370.0	0	1	0	3
371.0	0	2	0	1
372.0	0	2	0	0
373.0	0	3	0	0
374.0	0	0	0	1
375.0	0	0	0	4
376.0	0	4	0	6
377.0	0	1	0	1
378.0	0	2	0	0
379.0	0	3	0	3
380.0	0	2	0	0
381.0	0	1	0	0
382.0	0	2	0	4
383.0	0	1	0	2
384.0	0	1	0	0
385.0	0	0	0	1
386.0	0	1	0	2
387.0	0	3	0	2
388.0	0	0	0	1
389.0	0	3	0	1
390.0	0	1	0	4
391.0	0	1	0	0
392.0	0	1	0	0
393.0	0	2	0	1
394.0	0	1	0	1
395.0	0	2	0	1
396.0	0	1	0	2
397.0	0	2	0	0
398.0	0	1	0	1
399.0	0	2	0	1
400.0	0	0	0	1
401.0	0	0	0	2
403.0	0	2	0	1
404.0	0	0	0	1
405.0	0	1	0	2
406.0	0	2	0	1
407.0	0	1	0	1
408.0	0	1	0	1
409.0	0	3	0	2
411.0	0	0	0	1
412.0	0	2	0	0
413.0	0	1	0	0
415.0	0	0	0	1
416.0	0	1	0	1
417.0	0	0	0	3
418.0	0	1	0	1
419.0	0	3	0	1
420.0	0	1	0	0
421.0	0	1	0	0
422.0	0	1	0	0
423.0	0	0	0	1
424.0	0	0	0	2
425.0	0	0	0	2
426.0	0	2	0	0
427.0	0	1	0	2
428.0	0	1	0	1
429.0	0	0	0	3
430.0	0	4	0	1
431.0	0	1	0	1
432.0	0	1	0	0
433.0	0	0	0	1
434.0	0	2	0	0
435.0	0	1	0	0
436.0	0	1	0	1
438.0	0	0	0	1
439.0	0	0	0	1
440.0	0	0	0	2
441.0	0	2	0	1
443.0	0	1	0	0
444.0	0	1	0	0
445.0	0	1	0	3
446.0	0	2	0	1
447.0	0	1	0	0
450.0	0	1	0	4
451.0	0	1	0	0
452.0	0	1	0	0
454.0	0	1	0	1
455.0	0	1	0	0
456.0	0	1	0	0
457.0	0	0	0	1
458.0	0	1	0	0
459.0	0	0	0	1
462.0	0	0	0	1
463.0	0	2	0	1
464.0	0	0	0	1
465.0	0	2	0	2
466.0	0	1	0	1
467.0	0	1	0	0
468.0	0	2	0	1
469.0	0	0	0	1
472.0	0	1	0	2
473.0	0	1	0	2
475.0	0	1	0	1
477.0	0	2	0	0
478.0	0	1	0	0
479.0	0	0	0	3
480.0	0	0	0	1
481.0	0	1	0	0
483.0	0	1	0	0
485.0	0	1	0	3
486.0	0	2	0	1
487.0	0	1	0	1
488.0	0	2	0	2
489.0	0	1	0	1
490.0	0	0	0	1
491.0	0	2	0	0
492.0	0	1	0	2
493.0	0	0	0	4
494.0	0	1	0	2
495.0	0	1	0	2
496.0	0	2	0	0
497.0	0	5	0	1
498.0	0	2	0	0
499.0	0	1	0	2
500.0	0	0	0	1
501.0	0	3	0	0
503.0	0	0	0	1
505.0	0	0	0	1
506.0	0	1	0	0
509.0	0	2	0	0
510.0	0	0	0	1
511.0	0	0	0	2
512.0	0	0	0	1
513.0	0	1	0	0
515.0	0	1	0	1
516.0	0	0	0	1
518.0	0	2	0	1
519.0	0	2	0	0
521.0	0	1	0	0
522.0	0	0	0	2
523.0	0	0	0	1
524.0	0	1	0	0
525.0	0	1	0	0
527.0	0	0	0	1
529.0	0	2	0	0
531.0	0	0	0	1
532.0	0	0	0	1
534.0	0	1	0	2
535.0	0	2	0	1
537.0	0	1	0	1
538.0	0	0	0	1
539.0	0	1	0	0
541.0	0	0	0	1
542.0	0	2	0	2
543.0	0	1	0	0
545.0	0	1	0	0
546.0	0	1	0	0
547.0	0	0	0	1
551.0	0	1	0	1
553.0	0	0	0	1
554.0	0	0	0	1
555.0	0	1	0	0
556.0	0	0	0	1
557.0	0	0	0	2
558.0	0	2	0	0
559.0	0	0	0	1
561.0	0	2	0	0
562.0	0	0	0	1
564.0	0	1	0	0
565.0	0	1	0	0
566.0	0	1	0	1
568.0	0	0	0	1
569.0	0	0	0	2
571.0	0	0	0	2
572.0	0	1	0	1
573.0	0	1	0	1
574.0	0	2	0	0
575.0	0	2	0	0
576.0	0	1	0	0
577.0	0	1	0	1
578.0	0	0	0	1
579.0	0	1	0	0
580.0	0	1	0	1
582.0	0	1	0	1
586.0	0	0	0	1
587.0	0	1	0	0
589.0	0	1	0	0
592.0	0	0	0	1
598.0	0	1	0	1
600.0	0	1	0	1
602.0	0	0	0	1
603.0	0	1	0	2
605.0	0	0	0	1
606.0	0	2	0	0
607.0	0	1	0	0
610.0	0	0	0	1
612.0	0	0	0	3
613.0	0	1	0	0
614.0	0	0	0	1
615.0	0	2	0	1
616.0	0	1	0	0
617.0	0	0	0	1
618.0	0	1	0	0
620.0	0	1	0	1
622.0	0	1	0	1
623.0	0	0	0	1
624.0	0	1	0	0
626.0	0	1	0	0
628.0	0	1	0	1
629.0	0	1	0	0
630.0	0	0	0	1
632.0	0	1	0	1
635.0	0	0	0	1
636.0	0	1	0	1
638.0	0	1	0	0
639.0	0	1	0	0
642.0	0	1	0	1
644.0	0	1	0	0
655.0	0	0	0	2
657.0	0	0	0	1
659.0	0	1	0	1
660.0	0	2	0	0
662.0	0	1	0	0
664.0	0	0	0	1
667.0	0	1	0	0
677.0	0	0	0	1
680.0	0	0	0	1
682.0	0	1	0	0
684.0	0	1	0	1
689.0	0	1	0	1
693.0	0	1	0	0
696.0	0	0	0	2
700.0	0	1	0	0
703.0	0	1	0	1
709.0	0	1	0	0
712.0	0	0	0	1
719.0	0	0	0	1
721.0	0	1	0	0
725.0	0	0	0	1
726.0	0	1	0	1
730.0	0	1	0	0
736.0	0	0	0	1
737.0	0	1	0	0
740.0	0	1	0	1
746.0	0	1	0	0
747.0	0	0	0	1
749.0	0	0	0	1
750.0	0	1	0	1
754.0	0	0	0	1
756.0	0	1	0	0
757.0	0	1	0	0
759.0	0	1	0	0
769.0	0	0	0	1
774.0	0	1	0	0
780.0	0	0	0	1
787.0	0	0	0	1
788.0	0	0	0	1
789.0	0	1	0	1
792.0	0	1	0	0
793.0	0	0	0	2
797.0	0	1	0	0
798.0	0	2	0	0
800.0	0	1	0	0
801.0	0	0	0	1
808.0	0	1	0	0
809.0	0	0	0	1
812.0	0	1	0	0
816.0	0	0	0	1
818.0	0	0	0	1
819.0	0	0	0	1
826.0	0	1	0	1
828.0	0	1	0	0
829.0	0	1	0	0
831.0	0	0	0	1
836.0	0	1	0	0
839.0	0	1	0	0
841.0	0	0	0	1
848.0	0	0	0	1
850.0	0	1	0	0
859.0	0	1	0	0
866.0	0	0	0	1
868.0	0	0	0	1
872.0	0	1	0	0
873.0	0	0	0	1
876.0	0	1	0	1
878.0	0	1	0	0
885.0	0	1	0	0
889.0	0	0	0	1
891.0	0	0	0	1
895.0	0	1	0	0
896.0	0	0	0	1
897.0	0	1	0	0
903.0	0	1	0	0
906.0	0	0	0	1
912.0	0	0	0	1
915.0	0	1	0	1
916.0	0	1	0	0
919.0	0	0	0	1
921.0	0	1	0	0
922.0	0	1	0	0
925.0	0	0	0	1
932.0	0	1	0	0
953.0	0	0	0	1
956.0	0	0	0	1
957.0	0	0	0	1
961.0	0	2	0	0
962.0	0	1	0	0
979.0	0	0	0	1
983.0	0	1	0	0
1020.0	0	0	0	1
1026.0	0	1	0	0
1042.0	0	0	0	1
1045.0	0	0	0	1
1046.0	0	1	0	0
1054.0	0	1	0	0
1073.0	0	0	0	1
1076.0	0	0	0	1
1081.0	0	1	0	1
1086.0	0	1	0	0
1090.0	0	1	0	1
1101.0	0	1	0	0
1106.0	0	0	0	1
1112.0	0	0	0	1
1117.0	0	1	0	0
1118.0	0	0	0	1
1121.0	0	0	0	1
1123.0	0	0	0	1
1124.0	0	1	0	0
1125.0	0	0	0	1
1127.0	0	1	0	0
1128.0	0	1	0	1
1130.0	0	1	0	0
1133.0	0	1	0	0
1137.0	0	0	0	1
1141.0	0	0	0	1
1142.0	0	2	0	0
1144.0	0	0	0	1
1146.0	0	1	0	0
1148.0	0	1	0	0
1154.0	0	0	0	1
1160.0	0	0	0	1
1161.0	0	1	0	0
1166.0	0	1	0	0
1170.0	0	0	0	1
1175.0	0	0	0	1
1178.0	0	0	0	1
1180.0	0	1	0	0
1181.0	0	1	0	0
1184.0	0	1	0	0
1185.0	0	0	0	1
1190.0	0	1	0	0
1199.0	0	0	0	1
1211.0	0	1	0	0
1212.0	0	0	0	1
1217.0	0	1	0	0
1241.0	0	0	0	1
1255.0	0	1	0	0
1261.0	0	0	0	1
1270.0	0	0	0	1
1272.0	0	1	0	0
1280.0	0	1	0	0
1304.0	0	0	0	1
1307.0	0	0	0	1
1312.0	0	2	0	0
1350.0	0	0	0	1
1353.0	0	0	0	1
1359.0	0	1	0	0
1365.0	0	1	0	0
1367.0	0	0	0	1
1373.0	0	0	0	1
1375.0	0	1	0	0
1383.0	0	1	0	0
1386.0	0	0	0	1
1391.0	0	1	0	0
1418.0	0	0	0	1
1420.0	0	0	0	1
1427.0	0	0	0	1
1433.0	0	1	0	0
1440.0	0	1	0	0
1444.0	0	1	0	0
1445.0	0	0	0	1
1453.0	0	1	0	0
1454.0	0	0	0	1
1459.0	0	0	0	1
1464.0	0	1	0	0
1469.0	0	1	0	0
1472.0	0	0	0	1
1480.0	0	1	0	0
1532.0	0	0	0	1
1551.0	0	1	0	0
1757.0	0	0	0	1
1768.0	0	1	0	0
1796.0	0	0	0	1
1800.0	0	1	0	0
1921.0	0	0	0	1
1933.0	0	1	0	0
1951.0	0	0	0	1
1969.0	0	1	0	0
2001.0	0	0	0	1
2027.0	0	1	0	0
2317.0	0	0	0	1
2343.0	0	1	0	0
2445.0	0	0	0	1
2455.0	0	0	0	1
2473.0	0	1	0	0
2474.0	0	1	0	0
3008.0	0	0	0	1
3035.0	0	1	0	0
4331.0	0	0	0	1
4373.0	0	1	0	0

