## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[BWA-MEM_Human-hg19_Cat-felCat9-Bacteria11_Alignment/rg.bam] OUTPUT=BWA-MEM_Human-hg19_Cat-felCat9-Bacteria11_Alignment/nodup.bam METRICS_FILE=BWA-MEM_Human-hg19_Cat-felCat9-Bacteria11_Alignment/SequencingDotCom_WGS_MarkDuplicates_BWA_MEM_metrics.txt REMOVE_DUPLICATES=true CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Dec 14 13:08:50 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
WGA	807894	432145208	3752694	11934752	485452	20947169	0	0.048988	4312387319

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
78.0	10.483146	124	124
79.0	10.483549	108	108
80.0	10.483914	111	111
81.0	10.484244	121	121
82.0	10.484542	116	116
83.0	10.484812	112	112
84.0	10.485056	108	108
85.0	10.485277	126	126
86.0	10.485477	101	101
87.0	10.485658	95	95
88.0	10.485821	89	89
89.0	10.485969	92	92
90.0	10.486103	98	98
91.0	10.486224	94	94
92.0	10.486334	98	98
93.0	10.486433	93	93
94.0	10.486523	74	74
95.0	10.486604	65	65
96.0	10.486677	53	53
97.0	10.486744	79	79
98.0	10.486804	86	86
99.0	10.486858	85	85
100.0	10.486907	71	71
101.0	0	70	70
102.0	0	55	55
103.0	0	58	58
104.0	0	61	61
105.0	0	60	60
106.0	0	44	44
107.0	0	55	55
108.0	0	60	60
109.0	0	52	52
110.0	0	55	55
111.0	0	54	54
112.0	0	37	37
113.0	0	57	57
114.0	0	49	49
115.0	0	46	46
116.0	0	32	32
117.0	0	32	32
118.0	0	46	46
119.0	0	51	51
120.0	0	36	36
121.0	0	52	52
122.0	0	38	38
123.0	0	42	42
124.0	0	47	47
125.0	0	37	37
126.0	0	33	33
127.0	0	42	42
128.0	0	26	26
129.0	0	41	41
130.0	0	26	26
131.0	0	36	36
132.0	0	34	34
133.0	0	23	23
134.0	0	23	23
135.0	0	25	25
136.0	0	29	29
137.0	0	25	25
138.0	0	33	33
139.0	0	22	22
140.0	0	24	24
141.0	0	25	25
142.0	0	29	29
143.0	0	18	18
144.0	0	25	25
145.0	0	25	25
146.0	0	32	32
147.0	0	21	21
148.0	0	18	18
149.0	0	21	21
150.0	0	25	25
151.0	0	22	22
152.0	0	12	12
153.0	0	18	18
154.0	0	19	19
155.0	0	12	12
156.0	0	16	16
157.0	0	24	24
158.0	0	24	24
159.0	0	26	26
160.0	0	16	16
161.0	0	18	18
162.0	0	15	15
163.0	0	17	17
164.0	0	16	16
165.0	0	14	14
166.0	0	17	17
167.0	0	14	14
168.0	0	16	16
169.0	0	16	16
170.0	0	18	18
171.0	0	19	19
172.0	0	14	14
173.0	0	14	14
174.0	0	17	17
175.0	0	12	12
176.0	0	19	19
177.0	0	11	11
178.0	0	21	21
179.0	0	18	18
180.0	0	13	13
181.0	0	15	15
182.0	0	14	14
183.0	0	12	12
184.0	0	7	7
185.0	0	9	9
186.0	0	11	11
187.0	0	12	12
188.0	0	9	9
189.0	0	11	11
190.0	0	14	14
191.0	0	3	3
192.0	0	8	8
193.0	0	12	12
194.0	0	20	20
195.0	0	7	7
196.0	0	13	13
197.0	0	13	13
198.0	0	8	8
199.0	0	12	12
200.0	0	9	9
201.0	0	6	6
202.0	0	11	11
203.0	0	7	7
204.0	0	12	12
205.0	0	7	7
206.0	0	8	8
207.0	0	5	5
208.0	0	4	4
209.0	0	5	5
210.0	0	6	6
211.0	0	13	13
212.0	0	10	10
213.0	0	9	9
214.0	0	1	1
215.0	0	10	10
216.0	0	9	9
217.0	0	10	10
218.0	0	6	6
219.0	0	11	11
220.0	0	7	7
221.0	0	5	5
222.0	0	12	12
223.0	0	11	11
224.0	0	5	5
225.0	0	10	10
226.0	0	4	4
227.0	0	8	8
228.0	0	5	5
229.0	0	3	3
230.0	0	8	8
231.0	0	6	6
232.0	0	10	10
233.0	0	6	6
234.0	0	7	7
235.0	0	3	3
236.0	0	8	8
237.0	0	7	7
238.0	0	4	4
239.0	0	10	10
240.0	0	5	5
241.0	0	4	4
242.0	0	9	9
243.0	0	4	4
244.0	0	8	8
245.0	0	6	6
246.0	0	2	2
247.0	0	9	9
248.0	0	3	3
249.0	0	5	5
250.0	0	6	6
251.0	0	6	6
252.0	0	3	3
253.0	0	5	5
254.0	0	4	4
255.0	0	2	2
256.0	0	4	4
257.0	0	4	4
258.0	0	7	7
259.0	0	7	7
260.0	0	7	7
261.0	0	3	3
263.0	0	2	2
264.0	0	6	6
265.0	0	3	3
266.0	0	5	5
267.0	0	2	2
268.0	0	5	5
269.0	0	4	4
270.0	0	3	3
271.0	0	3	3
272.0	0	2	2
273.0	0	5	5
274.0	0	4	4
275.0	0	3	3
276.0	0	2	2
277.0	0	5	5
278.0	0	6	6
279.0	0	2	2
280.0	0	1	1
281.0	0	3	3
282.0	0	5	5
283.0	0	6	6
284.0	0	4	4
285.0	0	1	1
286.0	0	2	2
287.0	0	3	3
288.0	0	2	2
289.0	0	2	2
290.0	0	1	1
291.0	0	4	4
292.0	0	2	2
293.0	0	4	4
294.0	0	3	3
295.0	0	3	3
296.0	0	3	3
297.0	0	1	1
298.0	0	1	1
299.0	0	2	2
300.0	0	1	1
301.0	0	6	6
302.0	0	4	4
303.0	0	1	1
304.0	0	2	2
305.0	0	2	2
306.0	0	2	2
308.0	0	2	2
309.0	0	1	1
310.0	0	1	1
311.0	0	4	4
312.0	0	3	3
315.0	0	2	2
316.0	0	3	3
317.0	0	2	2
318.0	0	1	1
319.0	0	2	2
320.0	0	1	1
321.0	0	3	3
322.0	0	1	1
323.0	0	1	1
324.0	0	1	1
325.0	0	4	4
326.0	0	3	3
327.0	0	2	2
328.0	0	4	4
329.0	0	2	2
330.0	0	6	6
331.0	0	3	3
332.0	0	1	1
333.0	0	4	4
335.0	0	1	1
336.0	0	2	2
338.0	0	1	1
339.0	0	2	2
340.0	0	2	2
341.0	0	1	1
342.0	0	2	2
345.0	0	3	3
346.0	0	1	1
347.0	0	2	2
348.0	0	1	1
349.0	0	1	1
350.0	0	2	2
353.0	0	1	1
354.0	0	1	1
355.0	0	3	3
357.0	0	1	1
358.0	0	1	1
359.0	0	2	2
360.0	0	3	3
362.0	0	1	1
363.0	0	1	1
364.0	0	1	1
365.0	0	2	2
366.0	0	1	1
367.0	0	4	4
368.0	0	2	2
369.0	0	2	2
370.0	0	1	1
371.0	0	5	5
372.0	0	2	2
374.0	0	1	1
378.0	0	2	2
379.0	0	2	2
384.0	0	3	3
385.0	0	4	4
386.0	0	1	1
387.0	0	1	1
388.0	0	4	4
389.0	0	2	2
390.0	0	1	1
391.0	0	1	1
393.0	0	1	1
394.0	0	3	3
395.0	0	1	1
396.0	0	1	1
398.0	0	2	2
399.0	0	1	1
400.0	0	1	1
402.0	0	3	3
403.0	0	2	2
405.0	0	1	1
406.0	0	4	4
408.0	0	2	2
409.0	0	2	2
410.0	0	3	3
411.0	0	2	2
412.0	0	3	3
413.0	0	2	2
414.0	0	1	1
417.0	0	1	1
418.0	0	1	1
419.0	0	1	1
420.0	0	1	1
424.0	0	2	2
425.0	0	2	2
426.0	0	1	1
427.0	0	1	1
431.0	0	3	3
432.0	0	2	2
434.0	0	2	2
436.0	0	1	1
437.0	0	2	2
439.0	0	1	1
440.0	0	2	2
443.0	0	2	2
449.0	0	1	1
451.0	0	2	2
452.0	0	2	2
453.0	0	2	2
454.0	0	1	1
461.0	0	1	1
462.0	0	1	1
464.0	0	1	1
469.0	0	2	2
470.0	0	1	1
475.0	0	1	1
477.0	0	1	1
478.0	0	2	2
479.0	0	2	2
486.0	0	1	1
490.0	0	1	1
494.0	0	2	2
497.0	0	2	2
507.0	0	1	1
514.0	0	2	2
516.0	0	1	1
518.0	0	1	1
520.0	0	1	1
523.0	0	1	1
524.0	0	1	1
526.0	0	1	1
529.0	0	1	1
531.0	0	1	1
536.0	0	1	1
539.0	0	1	1
540.0	0	1	1
541.0	0	1	1
543.0	0	1	1
547.0	0	2	2
553.0	0	1	1
558.0	0	1	1
563.0	0	1	1
568.0	0	1	1
570.0	0	1	1
573.0	0	1	1
576.0	0	1	1
578.0	0	1	1
582.0	0	1	1
583.0	0	1	1
586.0	0	1	1
598.0	0	1	1
601.0	0	1	1
629.0	0	1	1
635.0	0	1	1
636.0	0	1	1
643.0	0	1	1
644.0	0	1	1
650.0	0	1	1
653.0	0	1	1
657.0	0	1	1
667.0	0	1	1
668.0	0	1	1
680.0	0	1	1
687.0	0	1	1
711.0	0	2	2
726.0	0	1	1
735.0	0	1	1
741.0	0	1	1
751.0	0	1	1
752.0	0	1	1
753.0	0	1	1
757.0	0	1	1
770.0	0	1	1
781.0	0	1	1
790.0	0	1	1
794.0	0	1	1
796.0	0	1	1
804.0	0	1	1
807.0	0	1	1
812.0	0	1	1
821.0	0	1	1
836.0	0	1	1
855.0	0	1	1
873.0	0	1	1
884.0	0	1	1
913.0	0	1	1
951.0	0	1	1
957.0	0	1	1
965.0	0	1	1
1068.0	0	1	1
1102.0	0	1	1
1135.0	0	1	1
1143.0	0	1	1
1154.0	0	1	1
1166.0	0	1	1
1445.0	0	2	2

