qseqid	qstart	qend	qlen	sseqid	sstart	send	slen	length	nident	mismatch	gaps	pident	score
R_siamese	4	23	24	chrC1	140522382	140522363	221441202	20	19	1	0	95	17
R_siamese	5	21	24	chrC1	199076580	199076596	221441202	17	17	0	0	100	17
R_siamese	3	24	24	chrC1	20019421	20019442	221441202	22	20	2	0	90.909	16
R_siamese	9	24	24	chrC1	38572295	38572310	221441202	16	16	0	0	100	16
R_siamese	2	20	24	chrC1	46204763	46204781	221441202	19	18	1	0	94.737	16
R_siamese	1	16	24	chrC1	58326502	58326487	221441202	16	16	0	0	100	16
R_siamese	2	21	24	chrC1	64156996	64156978	221441202	20	19	0	1	95	16
R_siamese	2	23	24	chrC1	85937307	85937328	221441202	22	20	2	0	90.909	16
R_siamese	5	20	24	chrC1	87469913	87469898	221441202	16	16	0	0	100	16
R_siamese	2	24	24	chrC1	128091717	128091738	221441202	23	21	1	1	91.304	16
R_siamese	1	16	24	chrC1	140304984	140304999	221441202	16	16	0	0	100	16
R_siamese	7	22	24	chrC1	167881103	167881118	221441202	16	16	0	0	100	16
R_siamese	3	21	24	chrC1	188669383	188669364	221441202	20	19	0	1	95	16
R_siamese	9	24	24	chrC1	203487928	203487913	221441202	16	16	0	0	100	16
R_siamese	7	24	24	chrB4	31809996	31809979	144259557	18	18	0	0	100	18
R_siamese	7	23	24	chrB4	33784991	33784975	144259557	17	17	0	0	100	17
R_siamese	1	23	24	chrB4	41042581	41042604	144259557	24	22	1	1	91.667	17
R_siamese	5	21	24	chrB4	58112271	58112287	144259557	17	17	0	0	100	17
R_siamese	8	24	24	chrB4	93384522	93384538	144259557	17	17	0	0	100	17
R_siamese	9	24	24	chrB4	15092660	15092645	144259557	16	16	0	0	100	16
R_siamese	6	24	24	chrB4	31926232	31926214	144259557	19	18	1	0	94.737	16
R_siamese	3	21	24	chrB4	47507247	47507265	144259557	19	18	1	0	94.737	16
R_siamese	7	22	24	chrB4	64472925	64472910	144259557	16	16	0	0	100	16
R_siamese	9	24	24	chrB4	75336843	75336858	144259557	16	16	0	0	100	16
R_siamese	8	23	24	chrB4	96673840	96673825	144259557	16	16	0	0	100	16
R_siamese	6	21	24	chrB4	121890898	121890913	144259557	16	16	0	0	100	16
R_siamese	7	24	24	chrB1	101144552	101144569	205241052	18	18	0	0	100	18
R_siamese	2	24	24	chrB1	22346212	22346190	205241052	23	21	2	0	91.304	17
R_siamese	7	23	24	chrB1	31546886	31546870	205241052	17	17	0	0	100	17
R_siamese	3	18	24	chrB1	100504478	100504493	205241052	16	16	0	0	100	16
R_siamese	5	24	24	chrB1	109640901	109640919	205241052	20	19	0	1	95	16
R_siamese	8	23	24	chrB1	153819526	153819541	205241052	16	16	0	0	100	16
R_siamese	9	24	24	chrB1	158692351	158692336	205241052	16	16	0	0	100	16
R_siamese	3	21	24	chrB1	159099878	159099896	205241052	19	18	1	0	94.737	16
R_siamese	4	24	24	chrA3	88427427	88427407	142459683	21	20	1	0	95.238	18
R_siamese	2	22	24	chrA3	114480011	114479990	142459683	22	21	0	1	95.455	18
R_siamese	5	24	24	chrA3	40994113	40994133	142459683	21	20	0	1	95.238	17
R_siamese	2	24	24	chrA3	48805369	48805346	142459683	24	22	1	1	91.667	17
R_siamese	1	22	24	chrA3	4052159	4052180	142459683	22	20	2	0	90.909	16
R_siamese	2	24	24	chrA3	16380787	16380807	142459683	23	21	0	2	91.304	16
R_siamese	9	24	24	chrA3	109478968	109478983	142459683	16	16	0	0	100	16
R_siamese	6	24	24	chrA3	115884508	115884526	142459683	19	18	1	0	94.737	16
R_siamese	1	24	24	chrA1	103111472	103111495	239302903	24	22	2	0	91.667	18
R_siamese	7	23	24	chrA1	12468052	12468036	239302903	17	17	0	0	100	17
R_siamese	2	18	24	chrA1	72015256	72015272	239302903	17	17	0	0	100	17
R_siamese	1	23	24	chrA1	143009752	143009775	239302903	24	22	1	1	91.667	17
R_siamese	9	24	24	chrA1	6085516	6085501	239302903	16	16	0	0	100	16
R_siamese	7	22	24	chrA1	7386488	7386503	239302903	16	16	0	0	100	16
R_siamese	5	20	24	chrA1	34277085	34277100	239302903	16	16	0	0	100	16
R_siamese	5	23	24	chrA1	39248564	39248546	239302903	19	18	1	0	94.737	16
R_siamese	7	22	24	chrA1	75825179	75825194	239302903	16	16	0	0	100	16
R_siamese	2	18	24	chrX	57839485	57839469	126427096	17	17	0	0	100	17
R_siamese	3	21	24	chrX	22936581	22936599	126427096	19	18	1	0	94.737	16
R_siamese	3	24	24	chrX	31000397	31000376	126427096	22	20	2	0	90.909	16
R_siamese	8	23	24	chrX	89459294	89459309	126427096	16	16	0	0	100	16
R_siamese	8	24	24	chrF1	39189660	39189644	68669167	17	17	0	0	100	17
R_siamese	2	23	24	chrF1	55533497	55533475	68669167	23	21	1	1	91.304	16
R_siamese	2	20	24	chrF1	61329321	61329339	68669167	19	18	1	0	94.737	16
R_siamese	3	24	24	chrD4	15568284	15568307	96020406	24	22	0	2	91.667	17
R_siamese	3	18	24	chrD4	14845678	14845693	96020406	16	16	0	0	100	16
R_siamese	2	21	24	chrD4	36324634	36324616	96020406	20	19	0	1	95	16
R_siamese	1	16	24	chrD4	41237779	41237794	96020406	16	16	0	0	100	16
R_siamese	7	22	24	chrD4	45112101	45112086	96020406	16	16	0	0	100	16
R_siamese	5	23	24	chrD4	49234172	49234154	96020406	19	18	1	0	94.737	16
R_siamese	2	17	24	chrD4	55711315	55711300	96020406	16	16	0	0	100	16
R_siamese	7	22	24	chrD4	87380068	87380083	96020406	16	16	0	0	100	16
R_siamese	2	18	24	chrD3	15246578	15246594	95741729	17	17	0	0	100	17
R_siamese	7	22	24	chrD3	16820329	16820344	95741729	16	16	0	0	100	16
R_siamese	1	16	24	chrD3	27511153	27511168	95741729	16	16	0	0	100	16
R_siamese	9	24	24	chrD3	36386710	36386695	95741729	16	16	0	0	100	16
R_siamese	9	24	24	chrD3	36560651	36560636	95741729	16	16	0	0	100	16
R_siamese	3	24	24	chrD3	39704406	39704385	95741729	22	20	2	0	90.909	16
R_siamese	7	23	24	chrC2	20785955	20785939	157659299	17	17	0	0	100	17
R_siamese	6	22	24	chrC2	30374507	30374523	157659299	17	17	0	0	100	17
R_siamese	7	23	24	chrC2	39330928	39330912	157659299	17	17	0	0	100	17
R_siamese	1	21	24	chrC2	57997798	57997779	157659299	21	20	0	1	95.238	17
R_siamese	2	24	24	chrC2	134244990	134244968	157659299	23	21	2	0	91.304	17
R_siamese	2	23	24	chrC2	5464071	5464092	157659299	22	20	2	0	90.909	16
R_siamese	5	23	24	chrC2	25295546	25295527	157659299	20	19	0	1	95	16
R_siamese	7	22	24	chrC2	28165255	28165240	157659299	16	16	0	0	100	16
R_siamese	7	22	24	chrC2	46703562	46703547	157659299	16	16	0	0	100	16
R_siamese	6	24	24	chrC2	82280259	82280278	157659299	20	19	0	1	95	16
R_siamese	7	22	24	chrC2	86150717	86150732	157659299	16	16	0	0	100	16
R_siamese	2	24	24	chrB3	96935756	96935733	148491654	24	22	1	1	91.667	17
R_siamese	5	24	24	chrB3	113172876	113172857	148491654	20	19	1	0	95	17
R_siamese	2	21	24	chrB3	121202606	121202586	148491654	21	20	0	1	95.238	17
R_siamese	5	23	24	chrB3	6321753	6321771	148491654	19	18	1	0	94.737	16
R_siamese	9	24	24	chrB3	13150869	13150854	148491654	16	16	0	0	100	16
R_siamese	3	24	24	chrB3	16633473	16633494	148491654	22	20	2	0	90.909	16
R_siamese	9	24	24	chrB3	66412814	66412829	148491654	16	16	0	0	100	16
R_siamese	1	16	24	chrB3	69832384	69832399	148491654	16	16	0	0	100	16
R_siamese	9	24	24	chrB3	79494231	79494216	148491654	16	16	0	0	100	16
R_siamese	1	20	24	chrB2	22023492	22023473	154261789	20	19	1	0	95	17
R_siamese	2	24	24	chrB2	41064859	41064837	154261789	24	22	0	2	91.667	17
R_siamese	5	24	24	chrB2	105845809	105845828	154261789	20	19	1	0	95	17
R_siamese	9	24	24	chrB2	58050752	58050737	154261789	16	16	0	0	100	16
R_siamese	5	23	24	chrB2	95441163	95441181	154261789	19	18	1	0	94.737	16
R_siamese	9	24	24	chrB2	96584498	96584513	154261789	16	16	0	0	100	16
R_siamese	2	23	24	chrB2	107363293	107363272	154261789	22	20	2	0	90.909	16
R_siamese	8	23	24	chrB2	109709843	109709828	154261789	16	16	0	0	100	16
R_siamese	4	22	24	chrB2	143465968	143465986	154261789	19	18	1	0	94.737	16
R_siamese	4	24	24	chrA2	13358578	13358559	169043629	21	20	0	1	95.238	17
R_siamese	8	24	24	chrA2	148939631	148939647	169043629	17	17	0	0	100	17
R_siamese	3	18	24	chrA2	5357160	5357175	169043629	16	16	0	0	100	16
R_siamese	9	24	24	chrA2	39831543	39831558	169043629	16	16	0	0	100	16
R_siamese	4	19	24	chrA2	42016870	42016855	169043629	16	16	0	0	100	16
R_siamese	9	24	24	chrA2	42352292	42352307	169043629	16	16	0	0	100	16
R_siamese	4	22	24	chrA2	42776928	42776910	169043629	19	18	1	0	94.737	16
R_siamese	6	21	24	chrA2	75486278	75486293	169043629	16	16	0	0	100	16
R_siamese	5	20	24	chrA2	83461442	83461427	169043629	16	16	0	0	100	16
R_siamese	3	24	24	chrA2	84499239	84499218	169043629	22	20	2	0	90.909	16
R_siamese	1	22	24	chrA2	118615116	118615095	169043629	23	21	0	2	91.304	16
R_siamese	1	19	24	chrA2	157131663	157131681	169043629	19	18	1	0	94.737	16
R_siamese	3	18	24	chrA2	164960144	164960129	169043629	16	16	0	0	100	16
R_siamese	3	21	24	chrA2	166449954	166449936	169043629	19	18	1	0	94.737	16
R_siamese	6	21	24	chrF2	1013916	1013901	82763536	16	16	0	0	100	16
R_siamese	3	22	24	chrF2	35058853	35058835	82763536	20	19	0	1	95	16
R_siamese	9	24	24	chrF2	79977561	79977546	82763536	16	16	0	0	100	16
R_siamese	9	24	24	chrE3	14930656	14930671	43024555	16	16	0	0	100	16
R_siamese	4	19	24	chrE2	6307184	6307169	64039838	16	16	0	0	100	16
R_siamese	5	20	24	chrE2	15550871	15550856	64039838	16	16	0	0	100	16
R_siamese	6	21	24	chrE2	54886655	54886640	64039838	16	16	0	0	100	16
R_siamese	3	24	24	chrE2	63557465	63557443	64039838	23	21	1	1	91.304	16
R_siamese	9	24	24	chrD2	14752790	14752805	89822065	16	16	0	0	100	16
R_siamese	5	20	24	chrD2	36610709	36610724	89822065	16	16	0	0	100	16
R_siamese	7	22	24	chrD2	41280206	41280221	89822065	16	16	0	0	100	16
R_siamese	6	21	24	chrD2	73823218	73823203	89822065	16	16	0	0	100	16
UCSC_WisdomPanel_felCat9	1	23	23	chrD1	46396766	46396789	116869131	24	23	0	1	95.833	20
UCSC_WisdomPanel_felCat9	1	16	23	chrA2	13244932	13244917	169043629	16	16	0	0	100	0
