Genus	Basepaws_WGS1	Basepaws_WGS2	Basepaws_WGS2SUB1	Basepaws_WGS2SUB2	Basepaws_WGS2SUB3	Bristle1	Nebula_lcWGS	SequencingDotCom_WGS	Veritas_WGS
Stenotrophomonas	1116	378766	6016	258192	114561	11	20	0	193
Lysobacter	443	263989	4182	180019	79791	7	6	0	60
Luteimonas	233	130927	2109	89189	39632	1	4	0	2
Xylella	120	7010	120	4662	2227	0	0	0	46
Thermomonas	112	23694	382	16147	7164	0	0	0	0
Pseudoxanthomonas	87	94349	1511	64264	28575	1	1	0	15
Pseudolysobacter	66	17772	260	12170	5341	2	1	0	3
Arenimonas	10	27786	440	18930	8415	0	0	0	3
Dyella	147	44713	760	30465	13487	1	0	0	2
Rhodanobacter	118	36597	564	24745	11288	0	0	0	2
Frateuria	36	16492	247	11146	5098	0	0	0	1
Luteibacter	30	15867	254	10762	4850	1	1	0	1
Ahniella	30	13708	207	9480	4021	0	0	0	2
Dokdonella	27	34737	565	23600	10572	1	0	0	0
Aerosticca	14	36522	637	25062	10822	1	0	0	0
Pseudomonas	25184	2330402	36722	1592422	701206	81	154	0	1087
Azotobacter	224	17239	296	11755	5188	0	4	0	12
Oblitimonas	71	1039	23	689	326	2	0	0	12
Permianibacter	46	3617	60	2440	1115	0	0	0	1
Acinetobacter	7042	35363	549	23452	11362	45	48	0	663
Moraxella	758	11906	235	7907	3763	2	23	0	26
Psychrobacter	500	11826	196	7945	3684	12	9	0	59
Alteromonas	946	10152	158	6814	3180	10	1	0	81
Salinimonas	898	1807	36	1158	612	0	0	0	2
Marinobacter	615	32155	483	21639	10032	3	4	0	70
Glaciecola	416	3563	50	2355	1157	1	1	0	20
Paraglaciecola	348	1992	49	1295	646	3	0	0	22
Catenovulum	223	2064	53	1373	636	2	3	0	15
Hydrocarboniclastica	52	2975	60	2015	899	3	0	0	8
Lacimicrobium	43	612	8	403	200	0	0	0	12
Saliniradius	35	1085	11	742	331	0	1	0	0
Agarivorans	30	1597	21	1058	517	0	0	0	1
Shewanella	3268	34743	524	23350	10869	14	26	0	188
Parashewanella	248	1303	20	868	415	2	1	0	8
Pseudoalteromonas	3327	18702	300	12398	6004	21	16	0	231
Colwellia	887	3711	62	2396	1252	9	6	0	191
Thalassotalea	161	2392	39	1607	745	7	0	0	51
Litorilituus	83	362	1	246	114	0	0	0	2
Moritella	385	1665	19	1077	568	3	1	0	32
Psychromonas	241	664	10	447	206	0	0	0	8
Idiomarina	114	2856	41	1914	900	2	5	0	2
Ferrimonas	33	2858	51	1955	852	0	1	0	1
Vibrio	5996	60632	973	40559	19098	38	47	0	552
Aliivibrio	600	1772	15	1149	607	1	0	0	31
Photobacterium	543	5445	88	3622	1734	7	6	0	37
Paraphotobacterium	164	313	7	191	114	1	0	0	17
Enterovibrio	105	409	8	244	156	1	1	0	9
Grimontia	63	1337	19	910	407	0	0	0	0
Salinivibrio	56	1732	27	1157	548	4	0	0	13
Bibersteinia	2128	334345	4991	226643	102784	18	58	0	31
Haemophilus	1544	36542	508	24481	11553	4005	15273	0	499
Mannheimia	844	46136	863	31258	14021	4	20	0	113
Pasteurella	611	3296524	49765	2205507	1041298	9	84	0	328
Actinobacillus	337	37501	573	25292	11637	11	22	0	34
Aggregatibacter	322	21247	345	14346	6555	121	228	0	227
Glaesserella	129	30411	438	20724	9249	6	10	0	15
Avibacterium	125	7749	143	5253	2352	7	4	0	24
Rodentibacter	112	2477	44	1643	789	1	26	0	13
Histophilus	83	9969	132	6365	3470	3	13	0	4
Gallibacterium	56	3034	51	2108	873	1	5	0	13
Basfia	45	3963	64	2659	1239	1	6	0	3
Otariodibacter	45	6182	90	4264	1827	1	4	0	19
Halomonas	1214	82624	1318	56031	25276	13	21	0	113
CandidatusCarsonella	60	666	16	432	217	0	0	0	12
CandidatusPortiera	54	130	1	89	39	0	0	0	1
Zymobacter	29	1853	44	1232	576	0	0	0	2
CandidatusEvansia	13	193	5	110	77	1	0	0	3
Kushneria	83	8189	122	5617	2450	1	1	0	2
Cobetia	64	6677	108	4586	1982	0	0	0	5
Halotalea	31	3069	61	2078	929	0	0	0	0
Pistricoccus	24	4223	58	2871	1293	0	1	0	3
Chromohalobacter	21	3485	71	2337	1077	0	0	0	0
Salinicola	14	4891	81	3328	1481	1	1	0	3
Marinomonas	379	3315	57	2234	1023	2	3	0	19
Thalassolituus	69	1092	14	754	323	1	0	0	1
Marinobacterium	58	3205	48	2169	987	1	3	0	1
Nitrincola	51	1062	14	723	323	0	0	0	8
Oleispira	48	846	19	561	265	1	0	0	1
Neptunomonas	29	726	11	464	250	0	1	0	5
Bacterioplanes	16	1851	43	1225	581	0	3	0	0
Alcanivorax	246	18666	267	12592	5805	0	0	0	31
Ketobacter	45	1281	17	905	358	0	0	0	0
Gynuella	71	1599	19	1062	517	0	0	0	4
Saccharospirillum	59	8005	128	5453	2423	1	0	0	0
Reinekea	37	1177	18	800	358	1	2	0	0
Kangiella	138	3061	58	2086	917	0	1	0	22
Hahella	109	7001	139	4686	2175	1	0	0	6
Oleiphilus	73	2532	37	1769	725	1	1	0	1
Endozoicomonas	24	795	17	531	246	2	0	0	5
Litoricola	6	1406	24	975	406	0	0	0	0
Legionella	2116	12303	208	8104	3990	17	2	0	187
Fluoribacter	90	488	7	320	161	0	1	0	2
Tatlockia	61	1032	14	697	320	0	0	0	7
Coxiella	175	1652	26	1077	548	0	0	0	17
Aquicella	60	1552	24	1012	515	0	0	0	9
Rickettsiella	49	1003	15	698	289	0	0	0	1
Francisella	1397	4817	64	3082	1670	7	13	0	173
Allofrancisella	51	421	8	228	184	1	1	0	12
Piscirickettsia	134	1863	23	1239	600	0	0	0	19
Thiomicrorhabdus	122	2337	31	1544	761	3	0	0	1
Hydrogenovibrio	100	2031	33	1375	623	1	2	0	1
Methylophaga	85	1187	30	816	340	2	0	0	3
Thiomicrospira	84	3545	52	2354	1138	0	2	0	4
Cycloclasticus	43	659	9	435	214	1	0	0	1
Beggiatoa	127	819	4	578	236	1	0	0	0
Thioploca	67	1187	14	805	367	3	0	0	8
Acidihalobacter	277	13429	210	9158	4061	0	0	0	1
Thioalkalivibrio	175	25452	402	17363	7686	2	0	0	2
Spiribacter	87	11018	178	7532	3307	0	0	0	14
Ectothiorhodospira	63	11724	159	8093	3471	1	1	0	11
Halorhodospira	50	3475	52	2352	1071	1	0	0	2
Alkalilimnicola	37	6959	116	4642	2201	0	0	0	1
Nitrosococcus	153	3920	60	2631	1229	1	0	0	17
Rheinheimera	105	1851	29	1238	583	1	2	0	30
Marichromatium	59	8363	115	5596	2652	1	0	0	2
Allochromatium	45	9903	150	6828	2924	0	0	0	16
CandidatusNitrosoglobus	44	296	3	209	84	0	0	0	14
Thiocystis	39	4846	98	3307	1440	0	0	0	1
Thioflavicoccus	35	4209	61	2858	1289	0	3	0	0
Thermochromatium	30	5314	77	3585	1651	1	0	0	0
Thiodictyon	26	5019	69	3463	1486	0	0	0	5
Granulosicoccus	53	1076	21	699	355	1	0	0	0
Sulfuriflexus	45	1887	28	1305	553	0	0	0	0
Wenzhouxiangella	83	7111	120	4799	2191	0	0	0	0
Halothiobacillus	61	6789	82	4604	2102	2	0	0	2
Woeseia	50	3014	41	2030	941	0	0	0	7
Guyparkeria	25	3962	49	2682	1230	0	0	0	0
Thiohalobacter	21	8745	136	5985	2622	0	0	0	0
Sulfurivermis	14	6906	103	4646	2156	0	1	0	1
Cellvibrio	277	8392	144	5639	2607	2	1	0	3
Agarilytica	217	1070	18	717	334	0	0	0	15
Saccharophagus	79	1496	18	986	490	0	1	0	8
Teredinibacter	59	2211	33	1498	679	1	0	0	1
Simiduia	33	3571	76	2404	1091	0	0	0	4
Microbulbifer	532	19116	281	12957	5877	7	12	0	328
Halioglobus	94	3968	49	2759	1158	3	3	0	3
Congregibacter	74	2741	36	1893	812	0	0	0	2
Kineobactrum	55	2444	40	1604	799	0	0	0	0
Zhongshania	52	1150	29	815	306	0	0	0	19
Oceanicoccus	30	1307	8	910	389	0	0	0	3
Spongiibacter	11	1421	36	949	435	0	0	0	0
CandidatusRuthia	45	48	1	27	19	0	0	0	14
CandidatusThioglobus	153	1394	21	934	438	1	2	0	39
Pseudohongiella	94	1799	36	1254	508	2	0	0	0
Gallaecimonas	31	1079	17	746	315	0	0	0	2
Thiolapillus	30	2627	39	1806	781	0	2	0	0
CandidatusNardonella	27	85	1	52	31	0	0	0	4
Sedimenticola	27	4021	56	2676	1287	0	4	0	2
Methylomonas	293	23132	424	15491	7217	1	4	0	10
Methylomicrobium	105	12450	159	8521	3770	1	0	0	42
Methylococcus	66	5468	78	3765	1624	0	0	0	19
CandidatusMethylospira	62	2442	39	1699	704	0	0	0	11
Methylocaldum	61	2548	45	1743	759	0	0	0	0
Methylovulum	59	2815	48	1925	840	0	0	0	2
Gilliamella	197	1977	30	1308	638	1	1	0	35
Frischella	72	513	10	347	155	0	0	0	5
Solimonas	86	6804	116	4633	2055	0	0	0	3
Sinimarinibacterium	32	10536	170	7186	3179	0	1	0	20
Steroidobacter	72	4569	61	3107	1400	0	0	0	0
Sulfurifustis	59	2548	28	1771	749	1	0	0	5
Acidiferrobacter	25	3133	35	2205	892	0	0	0	0
Sulfuricaulis	8	4555	60	3126	1368	0	0	0	4
Dichelobacter	32	14159	231	9521	4406	1	0	0	0
Cardiobacterium	23	269931	4279	183157	82498	1598	14	0	11
Immundisolibacter	21	9884	158	6702	3025	0	0	0	0
Salinisphaera	13	3655	66	2456	1132	0	0	0	1
Bradyrhizobium	6966	78102	1085	53226	23790	31	20	0	292
Rhodopseudomonas	500	14408	221	9910	4277	1	3	0	18
Bosea	324	10804	165	7374	3265	4	0	0	10
Nitrobacter	139	3680	53	2577	1050	1	1	0	5
Afipia	87	2120	27	1445	647	1	0	0	7
Tardiphaga	55	2135	29	1441	665	0	0	0	0
Oligotropha	40	1234	27	854	353	1	0	0	4
Variibacter	37	879	12	591	276	1	0	0	20
Rhizobium	2007	52112	809	35276	16023	3	14	0	76
Agrobacterium	745	23808	389	15946	7475	5	1	0	36
Neorhizobium	235	5605	79	3760	1765	2	1	0	7
Sinorhizobium	617	16662	265	11393	5004	3	8	0	13
Ensifer	274	5608	86	3841	1680	1	1	0	2
Liberibacter	240	3496	43	2294	1158	2	0	0	17
Shinella	67	4798	91	3302	1406	0	0	0	6
Georhizobium	49	390	8	263	118	0	0	0	0
Mesorhizobium	1361	46854	713	31930	14211	11	16	0	65
Aminobacter	134	5899	91	4006	1801	1	0	0	3
Hoeflea	82	1738	38	1221	479	3	0	0	7
Nitratireductor	79	2772	36	1840	895	0	1	0	0
Phyllobacterium	70	1698	30	1140	528	1	2	0	1
Chelativorans	48	673	9	454	208	0	0	0	1
Roseitalea	21	2993	47	2065	879	0	0	0	3
Lentilitoribacter	19	372	5	236	131	0	0	0	16
Salaquimonas	15	2537	35	1657	844	0	0	0	0
Methylobacterium	1170	28923	420	19819	8684	21	13	0	80
Methylorubrum	300	4655	64	3149	1440	3	0	0	17
Microvirga	118	8045	115	5499	2430	3	0	0	2
Bartonella	1103	5963	105	3948	1910	9	6	0	115
Rhodoplanes	295	4506	68	3034	1404	1	0	0	2
Hyphomicrobium	159	3317	45	2261	1010	0	0	0	30
Devosia	136	6945	123	4701	2119	0	0	0	3
Blastochloris	90	5449	90	3813	1545	0	2	0	5
Youhaiella	68	2386	43	1611	731	1	0	0	2
Pelagibacterium	60	1044	22	712	308	0	0	0	0
Maritalea	57	1973	24	1361	587	0	0	0	0
Filomicrobium	47	1224	13	849	361	0	0	0	1
Rhodomicrobium	37	1215	21	805	388	0	0	0	1
Pseudolabrys	211	4724	63	3218	1441	0	1	0	3
Ancylobacter	98	6129	94	4193	1842	4	0	0	1
Xanthobacter	66	1525	29	1036	460	2	4	0	7
Azorhizobium	59	3730	53	2512	1164	0	0	0	0
Labrys	48	5428	100	3639	1688	0	0	0	11
Starkeya	37	3360	56	2298	1005	0	0	0	1
Ochrobactrum	220	6824	122	4630	2071	2	1	0	5
Brucella	184	3907	58	2748	1101	0	3	0	6
Methylocystis	229	10603	157	7241	3203	4	5	0	2
Methylosinus	132	3041	34	2114	891	0	0	0	4
Terasakiella	36	629	10	418	201	2	1	0	12
Methyloceanibacter	63	3897	58	2674	1164	1	0	0	3
Hartmannibacter	59	1702	28	1219	455	0	0	0	0
Pseudorhodoplanes	59	1257	33	829	394	0	0	0	1
Nordella	53	3802	77	2533	1191	0	0	0	5
CandidatusHodgkinia	51	150	2	100	48	2	0	0	7
Methylocella	87	2250	33	1538	678	0	1	0	0
Beijerinckia	35	847	9	578	259	0	0	0	0
Methylovirgula	28	2652	37	1776	838	0	0	0	0
Cohaesibacter	69	1952	36	1315	601	0	0	0	17
Breoghania	62	3689	61	2511	1117	0	0	0	1
Martelella	89	6529	126	4448	1954	2	2	0	10
Aureimonas	26	1900	39	1244	616	0	0	0	5
Chelatococcus	97	5616	80	3863	1672	0	2	0	5
CandidatusPhaeomarinobacter	32	836	14	561	260	1	1	0	2
Parvibaculum	18	3395	60	2268	1067	0	0	0	0
Zymomonas	8758	1106	11	716	379	4	2	0	2
Sphingomonas	1424	45916	774	31261	13881	13	15	0	71
Sphingobium	898	33469	492	22842	10135	2	4	0	30
Novosphingobium	548	10689	175	7243	3270	3	5	0	8
Sphingopyxis	538	19919	329	13650	5940	9	10	0	47
Sphingorhabdus	183	3779	66	2535	1177	0	0	0	6
Sphingosinicella	104	4387	64	2997	1325	2	0	0	4
Blastomonas	61	1764	45	1178	540	0	1	0	5
Rhizorhabdus	39	1648	25	1130	493	2	0	0	8
Sphingosinithalassobacter	26	1641	27	1102	512	1	0	0	1
Citromicrobium	22	1864	23	1303	536	0	0	0	1
Tardibacter	18	3463	49	2316	1096	2	0	0	0
Porphyrobacter	398	3316	53	2219	1044	3	0	0	72
Altererythrobacter	389	10605	144	7258	3202	3	0	0	19
Erythrobacter	352	12445	199	8419	3826	1	9	0	24
Croceicoccus	130	3214	58	2236	918	0	0	0	2
Qipengyuania	12	3098	53	2077	967	0	0	0	0
Sulfitobacter	1991	17967	234	12527	5220	1	3	0	17
Paracoccus	854	43137	702	29284	13152	3	15	0	58
Rhodobacter	714	16972	205	10927	5819	3	3	0	13
Labrenzia	484	7170	143	4808	2218	1	0	0	15
Phaeobacter	317	8414	133	5675	2606	6	2	0	20
Roseovarius	291	9212	149	6143	2917	0	0	0	49
Celeribacter	245	8730	124	6007	2600	0	0	0	12
Rhodovulum	149	7585	118	5234	2233	0	1	0	8
Silicimonas	136	2263	35	1525	702	1	1	0	3
Pannonibacter	133	4249	70	2895	1283	0	0	0	14
Dinoroseobacter	131	1519	28	1023	468	0	0	0	1
Ruegeria	130	4016	49	2761	1206	0	0	0	2
Leisingera	126	10592	152	7278	3161	1	2	0	0
Paraoceanicella	101	3896	55	2630	1210	0	4	0	43
Stappia	100	5216	74	3583	1558	0	0	0	17
Octadecabacter	99	2433	42	1641	750	0	3	0	4
Yangia	95	4740	66	3223	1450	0	0	0	4
Confluentimicrobium	91	4846	94	3247	1505	0	0	0	2
Sagittula	91	1953	25	1385	544	0	0	0	3
Pseudorhodobacter	88	737	6	540	190	0	0	0	1
Haematobacter	86	2366	33	1668	665	0	0	0	3
Pelagibaca	77	1219	15	857	346	2	0	0	3
Epibacterium	75	1863	27	1227	608	0	0	0	1
Ketogulonicigenium	70	4762	79	3182	1498	0	0	0	1
Roseobacter	68	1882	32	1234	615	1	0	0	7
Sedimentitalea	65	1051	11	689	350	1	1	0	1
Pseudovibrio	58	918	20	582	314	0	0	0	0
Boseongicola	58	1130	24	759	346	0	0	0	0
Roseivivax	50	4478	59	3001	1417	0	0	0	18
Defluviimonas	49	2181	21	1512	648	0	0	0	6
Halovulum	48	721	11	480	230	1	0	0	0
Tateyamaria	47	621	7	423	190	0	0	0	1
Marinovum	42	2297	29	1599	668	0	0	0	4
Rhodobaca	39	206	0	142	64	0	0	0	18
Antarctobacter	37	2986	46	2002	937	0	0	0	10
Roseibacterium	37	744	18	483	241	1	0	0	1
Marivivens	34	384	3	264	116	0	0	0	0
Tabrizicola	31	664	6	437	220	0	0	0	2
Gemmobacter	31	7109	132	4793	2185	0	0	0	5
Fluviibacterium	30	2093	41	1412	639	0	0	0	0
Jannaschia	27	1072	10	746	315	0	0	0	1
Pseudohalocynthiibacter	25	969	11	653	305	0	0	0	3
Brevirhabdus	23	3178	40	2179	959	0	0	0	1
Oceanicola	20	3322	50	2277	994	2	0	0	4
Thalassococcus	20	708	7	482	218	0	0	0	0
Salipiger	19	4201	45	2893	1263	1	0	0	4
Litoreibacter	17	836	14	579	242	0	0	0	8
Halocynthiibacter	17	224	4	161	58	0	0	0	1
Maribius	16	265	2	194	69	0	0	0	0
Yoonia	6	2571	41	1795	735	0	2	0	0
Thioclava	5	634	8	425	200	4	0	0	2
Hyphomonas	99	7153	105	4910	2137	0	0	0	9
Maricaulis	66	2377	38	1605	733	0	0	0	4
Hirschia	57	139	1	91	47	0	0	0	4
Glycocaulis	10	2516	45	1703	767	1	0	0	0
Azospirillum	895	38333	650	26242	11442	9	9	0	63
Hypericibacter	212	7064	113	4733	2218	0	3	0	19
