study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJNA513845	SAMN10713951	SRS4236079	SRX5232655	SRR8423806	408172	marine metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/006/SRR8423806/SRR8423806_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/006/SRR8423806/SRR8423806_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/006/SRR8423806/SRR8423806_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/006/SRR8423806/SRR8423806_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/006/SRR8423806	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/006/SRR8423806		
PRJNA513845	SAMN10713950	SRS4236076	SRX5232654	SRR8423807	408172	marine metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/007/SRR8423807/SRR8423807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/007/SRR8423807/SRR8423807_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/007/SRR8423807/SRR8423807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/007/SRR8423807/SRR8423807_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/007/SRR8423807	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/007/SRR8423807		
PRJNA513845	SAMN10713957	SRS4236072	SRX5232653	SRR8423808	408172	marine metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/008/SRR8423808/SRR8423808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/008/SRR8423808/SRR8423808_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/008/SRR8423808/SRR8423808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/008/SRR8423808/SRR8423808_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/008/SRR8423808	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/008/SRR8423808		
PRJNA513845	SAMN10713952	SRS4236078	SRX5232652	SRR8423809	408172	marine metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/009/SRR8423809/SRR8423809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/009/SRR8423809/SRR8423809_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/009/SRR8423809/SRR8423809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/009/SRR8423809/SRR8423809_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/009/SRR8423809	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/009/SRR8423809		
PRJNA513845	SAMN10713975	SRS4236084	SRX5232651	SRR8423810	408172	marine metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/000/SRR8423810/SRR8423810_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/000/SRR8423810/SRR8423810_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/000/SRR8423810/SRR8423810_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/000/SRR8423810/SRR8423810_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/000/SRR8423810	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/000/SRR8423810		
PRJNA513845	SAMN10713974	SRS4236083	SRX5232650	SRR8423811	408172	marine metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/001/SRR8423811/SRR8423811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/001/SRR8423811/SRR8423811_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/001/SRR8423811/SRR8423811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/001/SRR8423811/SRR8423811_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/001/SRR8423811	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/001/SRR8423811		
PRJNA513845	SAMN10713977	SRS4236087	SRX5232649	SRR8423812	408172	marine metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/002/SRR8423812/SRR8423812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/002/SRR8423812/SRR8423812_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/002/SRR8423812/SRR8423812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/002/SRR8423812/SRR8423812_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/002/SRR8423812	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/002/SRR8423812		
PRJNA513845	SAMN10713976	SRS4236085	SRX5232648	SRR8423813	408172	marine metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/003/SRR8423813/SRR8423813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/003/SRR8423813/SRR8423813_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/003/SRR8423813/SRR8423813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/003/SRR8423813/SRR8423813_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/003/SRR8423813	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/003/SRR8423813		
PRJNA513845	SAMN10713959	SRS4236070	SRX5232647	SRR8423814	408172	marine metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/004/SRR8423814/SRR8423814_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/004/SRR8423814/SRR8423814_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/004/SRR8423814/SRR8423814_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/004/SRR8423814/SRR8423814_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/004/SRR8423814	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/004/SRR8423814		
PRJNA513845	SAMN10713958	SRS4236071	SRX5232646	SRR8423815	408172	marine metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/005/SRR8423815/SRR8423815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/005/SRR8423815/SRR8423815_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/005/SRR8423815/SRR8423815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/005/SRR8423815/SRR8423815_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/005/SRR8423815	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/005/SRR8423815		
PRJNA513845	SAMN10713971	SRS4236090	SRX5232645	SRR8423816	408172	marine metagenome	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/006/SRR8423816/SRR8423816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/006/SRR8423816/SRR8423816_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/006/SRR8423816/SRR8423816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/006/SRR8423816/SRR8423816_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/006/SRR8423816	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/006/SRR8423816		
PRJNA513845	SAMN10713972	SRS4236088	SRX5232644	SRR8423817	408172	marine metagenome	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/007/SRR8423817/SRR8423817_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/007/SRR8423817/SRR8423817_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/007/SRR8423817/SRR8423817_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/007/SRR8423817/SRR8423817_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/007/SRR8423817	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/007/SRR8423817		
PRJNA513845	SAMN10713967	SRS4236075	SRX5232643	SRR8423818	408172	marine metagenome	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/008/SRR8423818/SRR8423818_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/008/SRR8423818/SRR8423818_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/008/SRR8423818/SRR8423818_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/008/SRR8423818/SRR8423818_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/008/SRR8423818	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/008/SRR8423818		
PRJNA513845	SAMN10713968	SRS4236077	SRX5232642	SRR8423819	408172	marine metagenome	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/009/SRR8423819/SRR8423819_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/009/SRR8423819/SRR8423819_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/009/SRR8423819/SRR8423819_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/009/SRR8423819/SRR8423819_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/009/SRR8423819	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/009/SRR8423819		
PRJNA513845	SAMN10713965	SRS4236064	SRX5232641	SRR8423820	408172	marine metagenome	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/000/SRR8423820/SRR8423820_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/000/SRR8423820/SRR8423820_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/000/SRR8423820/SRR8423820_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/000/SRR8423820/SRR8423820_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/000/SRR8423820	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/000/SRR8423820		
PRJNA513845	SAMN10713966	SRS4236074	SRX5232640	SRR8423821	408172	marine metagenome	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/001/SRR8423821/SRR8423821_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/001/SRR8423821/SRR8423821_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/001/SRR8423821/SRR8423821_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/001/SRR8423821/SRR8423821_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/001/SRR8423821	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/001/SRR8423821		
PRJNA513845	SAMN10713963	SRS4236066	SRX5232639	SRR8423822	408172	marine metagenome	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/002/SRR8423822/SRR8423822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/002/SRR8423822/SRR8423822_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/002/SRR8423822/SRR8423822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/002/SRR8423822/SRR8423822_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/002/SRR8423822	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/002/SRR8423822		
PRJNA513845	SAMN10713964	SRS4236065	SRX5232638	SRR8423823	408172	marine metagenome	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/003/SRR8423823/SRR8423823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/003/SRR8423823/SRR8423823_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/003/SRR8423823/SRR8423823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/003/SRR8423823/SRR8423823_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/003/SRR8423823	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/003/SRR8423823		
PRJNA513845	SAMN10713961	SRS4236068	SRX5232637	SRR8423824	408172	marine metagenome	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/004/SRR8423824/SRR8423824_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/004/SRR8423824/SRR8423824_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/004/SRR8423824/SRR8423824_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/004/SRR8423824/SRR8423824_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/004/SRR8423824	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/004/SRR8423824		
PRJNA513845	SAMN10713962	SRS4236067	SRX5232636	SRR8423825	408172	marine metagenome	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/005/SRR8423825/SRR8423825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/005/SRR8423825/SRR8423825_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/005/SRR8423825/SRR8423825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/005/SRR8423825/SRR8423825_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/005/SRR8423825	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/005/SRR8423825		
PRJNA513845	SAMN10713968	SRS4236077	SRX5232635	SRR8423826	408172	marine metagenome	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/006/SRR8423826/SRR8423826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/006/SRR8423826/SRR8423826_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/006/SRR8423826/SRR8423826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/006/SRR8423826/SRR8423826_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/006/SRR8423826	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/006/SRR8423826		
PRJNA513845	SAMN10713967	SRS4236075	SRX5232634	SRR8423827	408172	marine metagenome	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/007/SRR8423827/SRR8423827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/007/SRR8423827/SRR8423827_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/007/SRR8423827/SRR8423827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/007/SRR8423827/SRR8423827_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/007/SRR8423827	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/007/SRR8423827		
PRJNA513845	SAMN10713962	SRS4236067	SRX5232633	SRR8423828	408172	marine metagenome	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/008/SRR8423828/SRR8423828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/008/SRR8423828/SRR8423828_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/008/SRR8423828/SRR8423828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/008/SRR8423828/SRR8423828_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/008/SRR8423828	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/008/SRR8423828		
PRJNA513845	SAMN10713961	SRS4236068	SRX5232632	SRR8423829	408172	marine metagenome	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/009/SRR8423829/SRR8423829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/009/SRR8423829/SRR8423829_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/009/SRR8423829/SRR8423829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/009/SRR8423829/SRR8423829_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/009/SRR8423829	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/009/SRR8423829		
PRJNA513845	SAMN10713960	SRS4236069	SRX5232631	SRR8423830	408172	marine metagenome	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/000/SRR8423830/SRR8423830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/000/SRR8423830/SRR8423830_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/000/SRR8423830/SRR8423830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/000/SRR8423830/SRR8423830_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/000/SRR8423830	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/000/SRR8423830		
PRJNA513845	SAMN10713959	SRS4236070	SRX5232630	SRR8423831	408172	marine metagenome	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/001/SRR8423831/SRR8423831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/001/SRR8423831/SRR8423831_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/001/SRR8423831/SRR8423831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/001/SRR8423831/SRR8423831_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/001/SRR8423831	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/001/SRR8423831		
PRJNA513845	SAMN10713966	SRS4236074	SRX5232629	SRR8423832	408172	marine metagenome	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/002/SRR8423832/SRR8423832_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/002/SRR8423832/SRR8423832_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/002/SRR8423832/SRR8423832_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/002/SRR8423832/SRR8423832_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/002/SRR8423832	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/002/SRR8423832		
PRJNA513845	SAMN10713965	SRS4236064	SRX5232628	SRR8423833	408172	marine metagenome	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/003/SRR8423833/SRR8423833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/003/SRR8423833/SRR8423833_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/003/SRR8423833/SRR8423833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/003/SRR8423833/SRR8423833_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/003/SRR8423833	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/003/SRR8423833		
