Genus	Basepaws_WGS1_Kraken2.kreport	Basepaws_WGS2_Kraken2.kreport	Bristle1_Kraken2.kreport	Kean5_Kraken2.kreport	Kean6a_Kraken2.kreport	Kean6b_Kraken2.kreport	Nebula_lcWGS_Kraken2.kreport	Ombre5_Kraken2.kreport	Ombre6_Kraken2.kreport	PetQCheck1_Kraken2.kreport	PetQCheck2_Kraken2.kreport	PetQCheck3_Kraken2.kreport	PetQCheck4_Kraken2.kreport	Psomagen1a_Kraken2.kreport	Psomagen1b_Kraken2.kreport	Psomagen2_Kraken2.kreport	Psomagen3_Kraken2.kreport	Psomagen4_Kraken2.kreport	SequencingDotCom_WGS_Kraken2.kreport	thryve2_Kraken2.kreport	thryve3a_Kraken2.kreport	thryve3b_Kraken2.kreport	thryve4_Kraken2.kreport	uBiome_Fecal2013_Kraken2.kreport	uBiome_Fecal2014_Kraken2.kreport	uBiome_Fecal2019_Kraken2.kreport	uBiome_Oral2014_Kraken2.kreport	uBiome_Oral2019_Kraken2.kreport	Veritas_WGS_Kraken2.kreport
Kozakia	29	1604	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2
Azospirillum	1600	52482	10	0	1	0	15	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	2	0	0	0	1	76
Hypericibacter	339	9631	1	5	7	0	6	0	1	0	0	1	1	3	0	0	0	0	23	1	0	0	0	0	0	0	0	0	9
Thalassospira	296	9274	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	24	0	0	1	0	0	0	0	0	1	14
Magnetospirillum	281	16272	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	30	0	0	1	0	0	0	0	0	0	6
CandidatusEndolissoclinum	237	350	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0	0	0	1	0	0	0	0	2
Nitrospirillum	138	4171	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	39
Skermanella	107	1468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
Rhodospirillum	99	12442	0	1	4	0	1	0	0	0	2	0	2	1	0	0	0	0	33	0	1	0	0	5	1	0	0	0	5
Niveispirillum	95	8313	1	43	176	0	0	23	10	2	3	4	2	41	0	0	0	0	19	3	23	60	12	37	6	30	0	1	4
Tistrella	90	5924	1	3	38	0	1	1	0	0	0	0	0	5	0	0	0	0	3	2	1	1	3	81	0	1	0	3	2
Pararhodospirillum	88	3476	0	1	1	0	1	0	0	2	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1
Ferrovibrio	66	5260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
Magnetospira	63	1543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Indioceanicola	38	4678	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	2
Haematospirillum	24	1230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium	7925	110868	34	0	1	0	24	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0	282
Rhodopseudomonas	624	17721	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	1	36
Bosea	475	14296	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	8
Nitrobacter	174	5458	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Afipia	93	2418	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2
Tardiphaga	76	3029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
Variibacter	54	1309	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	19
Oligotropha	52	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4
Rhizobium	2843	66589	8	0	1	0	14	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	58
Agrobacterium	961	27766	4	0	1	0	4	0	0	0	1	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	14
Neorhizobium	343	8137	3	5	22	0	0	0	0	1	0	0	0	3	0	0	0	0	35	1	2	2	1	25	0	2	0	0	2
Sinorhizobium	836	20462	2	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	20
Ensifer	399	7427	1	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	2
Liberibacter	348	4893	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0	0	0	0	1	0	0	0	0	8
Shinella	104	5454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10
Georhizobium	71	562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
Mesorhizobium	1970	62380	15	0	2	0	25	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	59
Aminobacter	207	7245	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	23
Nitratireductor	117	3765	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
Hoeflea	114	2706	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	3
Phyllobacterium	103	2338	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
Chelativorans	70	923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Lentilitoribacter	42	604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	1
Roseitalea	31	3483	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	3
Salaquimonas	18	3690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Methylobacterium	1632	38922	24	0	2	0	9	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	79
Methylorubrum	333	3918	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	9
Microvirga	185	10078	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	4
Bartonella	1711	9453	7	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	39
Rhodoplanes	412	6685	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	7
Hyphomicrobium	220	5167	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	15
Devosia	189	9763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	1	0	0	0	0	0	3
Blastochloris	136	6454	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	6
Youhaiella	107	2801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
Pelagibacterium	95	1433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Maritalea	89	3066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
Filomicrobium	66	1868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Rhodomicrobium	59	1839	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Pseudolabrys	294	5777	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1
Ancylobacter	129	7464	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0
Azorhizobium	86	4807	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	1	0	0	0	0	1
Xanthobacter	80	1572	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	4
Labrys	78	7032	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	1
Starkeya	41	4349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
Methylocystis	367	14444	8	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	8
Methylosinus	180	3847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
Terasakiella	70	591	2	2	22	0	2	0	0	0	0	0	0	6	0	0	0	0	4	0	0	0	0	4	0	0	0	0	21
Pseudorhodoplanes	99	2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
Methyloceanibacter	94	5494	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	10
CandidatusHodgkinia	84	200	1	0	12	0	0	0	0	0	0	0	0	1	0	0	0	0	36	0	0	0	1	0	0	0	0	0	0
Hartmannibacter	83	2444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1
Nordella	77	5732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1
Ochrobactrum	327	7735	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	5
Brucella	116	3585	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	6
Methylocella	130	3204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
Beijerinckia	48	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Methylovirgula	40	3927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	2
Cohaesibacter	99	3052	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Breoghania	92	4869	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	6
Martelella	131	7828	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	1
Aureimonas	34	2696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Chelatococcus	165	6931	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	2
CandidatusPhaeomarinobacter	59	1235	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	2
Parvibaculum	34	3982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
Zymomonas	6817	1264	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	3
Sphingomonas	2069	60357	20	2	7	0	13	0	0	1	3	0	0	0	0	0	0	0	625	0	0	0	1	1	0	0	0	1	66
Sphingobium	1241	42150	6	0	1	0	8	0	0	1	0	0	0	1	0	0	0	0	171	0	0	0	0	0	0	1	0	0	21
Novosphingobium	790	15178	3	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	10
Sphingopyxis	757	26839	10	9	111	0	10	3	0	0	0	0	0	18	0	0	0	0	168	1	2	2	1	16	10	0	3	1	58
Sphingorhabdus	288	5370	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	3
Sphingosinicella	141	6354	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	8
Blastomonas	81	3173	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1
Rhizorhabdus	47	1731	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	5
Sphingosinithalassobacter	42	2388	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
Tardibacter	39	3870	1	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
Citromicrobium	31	2149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Altererythrobacter	583	14320	3	1	10	0	0	0	1	0	0	0	0	1	0	0	0	0	48	2	0	1	3	0	0	0	0	0	10
Porphyrobacter	576	4528	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	21
Erythrobacter	517	16030	3	0	3	0	9	0	0	1	0	0	0	0	0	0	0	0	71	0	0	2	0	1	0	0	0	0	13
Croceicoccus	166	2978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4
Qipengyuania	14	4673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus	1262	54370	4	0	0	0	15	0	0	1	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	56
Labrenzia	756	10323	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	8
Sulfitobacter	632	20002	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	6
Phaeobacter	622	10322	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	17
Rhodobacter	527	20761	5	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	18
Roseovarius	436	12374	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	41
Celeribacter	372	9824	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	14
Rhodovulum	220	9852	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	1	0	0	0	0	0	0	4
Ruegeria	207	5878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	6
Leisingera	206	13706	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	5
Dinoroseobacter	189	1771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Silicimonas	186	2968	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1
Pannonibacter	183	3472	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	13
Yangia	155	6318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1
Octadecabacter	150	3690	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	3
Paraoceanicella	146	5054	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	63
Stappia	146	6419	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	15
Confluentimicrobium	129	5292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	3
Pseudorhodobacter	126	1216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Sagittula	114	2024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
Haematobacter	109	2209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
Epibacterium	104	2302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
Ketogulonicigenium	103	5254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2
Pelagibaca	100	1487	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1
Pseudovibrio	95	1581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1
Roseobacter	91	2649	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	4
Sedimentitalea	86	1658	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1
Roseivivax	84	6850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	4
Boseongicola	78	1783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Tateyamaria	78	916	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2
Halovulum	74	900	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
Roseibacterium	72	1101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defluviimonas	71	2685	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5
Antarctobacter	59	4570	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	7
Gemmobacter	55	10926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3
Fluviibacterium	53	3186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Marinovum	53	2650	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
Rhodobaca	50	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	22
Marivivens	49	557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Oceanicola	46	4896	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	3
Brevirhabdus	43	3768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0
Jannaschia	42	1755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3
Tabrizicola	42	1030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3
Thalassococcus	37	989	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
Pseudohalocynthiibacter	35	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Halocynthiibacter	32	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1
Litoreibacter	29	1321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	9
Maribius	24	394	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Salipiger	22	4136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	4
Yoonia	13	3419	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Thioclava	13	854	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
Hyphomonas	146	9543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
Maricaulis	104	3045	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Hirschia	84	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Glycocaulis	22	3325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	2
Caulobacter	2207	25814	0	13	98	0	4	1	0	0	0	1	0	14	0	0	0	0	72	0	0	0	1	1	1	3	0	19	17
Brevundimonas	1016	28794	1	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	52	0	0	0	0	0	0	1	0	0	22
Phenylobacterium	357	4608	0	1	22	0	2	0	0	0	0	0	0	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	2
Asticcacaulis	121	3449	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	2
Rickettsia	1418	6849	6	8	22	0	1	0	0	0	1	0	1	29	0	0	0	0	123	0	0	1	0	80	1	4	5	67	50
Orientia	380	924	1	29	114	0	1	0	0	3	2	1	1	11	0	0	0	0	44	1	0	0	1	0	0	0	0	0	11
CandidatusSneabacter	19	108	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CandidatusPhycorickettsia	58	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	9
Ehrlichia	713	3504	0	1	9	0	0	0	0	0	0	0	0	3	0	0	0	0	49	0	0	0	0	1	0	0	0	1	14
Wolbachia	633	2245	1	4	10	0	2	0	0	0	1	0	0	0	0	0	0	0	41	0	0	0	0	1	0	2	0	2	19
Anaplasma	130	387	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	17
Neorickettsia	63	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	2
CandidatusMidichloria	52	359	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	1	0	1	0	0	2
CandidatusFokinia	46	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CandidatusDeianiraea	74	359	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CandidatusPelagibacter	653	2885	2	1	12	0	0	1	0	0	0	0	0	0	0	0	0	0	131	1	1	0	0	3	0	0	0	0	24
CandidatusCytomitobacter	128	588	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	16	0	0	0	0	0	0	1	0	0	1
CandidatusNesciobacter	66	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
CandidatusParacaedibacter	138	475	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	60
CandidatusNucleicultrix	109	348	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	11	1	1	0	0	1
Phreatobacter	320	13015	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	6
Polymorphum	86	4127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	2
CandidatusPuniceispirillum	81	1424	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Micavibrio	41	2484	2	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	1
Emcibacter	144	1936	1	1	4	0	3	0	0	0	0	1	0	4	0	0	0	0	3	0	0	0	1	5	0	1	0	0	1
